GENE               CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
SORBI_3001G000100    1         0      4616      1       1  71930     -0.10513      0.54187         0.54094         0.54094
SORBI_3001G000400    1     20391     44443      2       1  71930       -0.677       0.7508          0.7452         0.75434
SORBI_3001G000700    1     51781     65305      1       1  71930     -0.90316      0.81678         0.81522         0.81522
SORBI_3001G000800    1     60892     71306      2       2  71930       1.1402      0.12711         0.15401         0.10668
SORBI_3001G000900    1     77159     83636      4       3  71930       1.6178     0.052848         0.10959        0.029301
SORBI_3001G001000    1     79932     85350      4       3  71930       1.6178     0.052848         0.10959        0.029301
SORBI_3001G001200    1    107968    114306      1       1  71930     -0.11069      0.54407          0.5429          0.5429
SORBI_3001G001300    1    110766    118048      3       2  71930     -0.44693      0.67254          0.6793         0.65115
SORBI_3001G001400    1    114116    138690      2       2  71930     -0.37645      0.64671         0.67946         0.60932
SORBI_3001G002000    1    160161    169916      2       2  71930       1.1658      0.12184         0.14653         0.10325
SORBI_3001G002050    1    168558    176521      2       2  71930       3.0719    0.0010635         0.00162      0.00076641
SORBI_3001G002100    1    171605    177832      2       2  71930       3.0719    0.0010635         0.00162      0.00076641
SORBI_3001G002200    1    183033    206958      2       2  71930       1.9389     0.026258        0.016783        0.042482
SORBI_3001G002400    1    214906    221523      1       1  71930      -1.1372      0.87228         0.87098         0.87098
SORBI_3001G002500    1    243300    249573      2       2  71930       2.0743     0.019027        0.024973        0.015746
SORBI_3001G002650    1    254359    260324      1       1  71930      -0.8587      0.80475         0.80347         0.80347
SORBI_3001G002700    1    256383    262238      1       1  71930      -0.8587      0.80475         0.80347         0.80347
SORBI_3001G003100    1    276106    284181      1       1  71930      0.16478      0.43456         0.43386         0.43386
SORBI_3001G003200    1    280881    287375      1       1  71930      0.16478      0.43456         0.43386         0.43386
SORBI_3001G003300    1    288474    300496      3       2  71930    -0.012198      0.50487         0.45575         0.54698
SORBI_3001G003400    1    296066    301728      3       2  71930    -0.012198      0.50487         0.45575         0.54698
SORBI_3001G003500    1    298363    308318      4       3  71930       0.3113      0.37779         0.35041          0.3986
SORBI_3001G003600    1    307245    313054      3       2  71930      0.39875      0.34504         0.43889         0.26996
SORBI_3001G003900    1    332170    340183      3       3  71930      0.75245      0.22589         0.24883         0.20604
SORBI_3001G004100    1    353496    362888      3       3  71930     -0.78487      0.78374         0.73189         0.82071
SORBI_3001G004300    1    373343    380198      1       1  71930      -1.2552       0.8953         0.89389         0.89389
SORBI_3001G004400    1    378347    393045      1       1  71930       -1.115      0.86758         0.86644         0.86644
SORBI_3001G005900    1    561262    567110      2       2  71930     0.011067      0.49559         0.48043         0.50457
SORBI_3001G006300    1    574040    579925      1       1  71930     -0.90959      0.81848         0.81719         0.81719
SORBI_3001G006400    1    581778    590934      1       1  71930      -1.5832      0.94331         0.94245         0.94245
SORBI_3001G006600    1    659532    671834      1       1  71930     -0.36032      0.64069         0.63944         0.63944
SORBI_3001G006800    1    689687    696091      4       3  71930      -0.3023      0.61879         0.53562         0.68339
SORBI_3001G007000    1    703245    713484      1       1  71930       0.2116      0.41621         0.41565         0.41565
SORBI_3001G007400    1    723425    730412      1       1  71930     -0.33615      0.63162         0.63041         0.63041
SORBI_3001G007500    1    726051    733978      2       2  71930     -0.09177      0.53656         0.53763         0.53182
SORBI_3001G007600    1    730601    738502      1       1  71930      0.11987      0.45229         0.45147         0.45147
SORBI_3001G007800    1    737596    748898      3       3  71930      0.91264      0.18072         0.11598         0.28552
SORBI_3001G008000    1    750109    758388      1       1  71930       1.0078      0.15679         0.15712         0.15712
SORBI_3001G008100    1    755179    761201      2       2  71930       1.7504     0.040021        0.031831        0.053172
SORBI_3001G008200    1    757332    764941      1       1  71930       1.9319     0.026688        0.026949        0.026949
SORBI_3001G008300    1    764997    774094      4       3  71930      0.69863      0.24239         0.23066         0.25579
SORBI_3001G008400    1    770342    780931      1       1  71930        1.363     0.086434        0.086828        0.086828
SORBI_3001G008800    1    822643    828523      4       2  71930     -0.47808       0.6837         0.70961         0.64546
SORBI_3001G008900    1    827021    832644     12       7  71930    -0.038522      0.51536         0.69992         0.36039
SORBI_3001G009000    1    831474    843001      9       7  71930      0.26734       0.3946         0.46598         0.32308
SORBI_3001G009100    1    839322    849804      1       1  71930      0.45133      0.32588         0.32558         0.32558
SORBI_3001G009200    1    846269    856834      3       3  71930      0.54529      0.29278         0.34236         0.24909
SORBI_3001G009300    1    858540    867043      2       2  71930      0.45931      0.32301          0.2646         0.39267
SORBI_3001G009400    1    863524    870001      2       2  71930      0.45931      0.32301          0.2646         0.39267
SORBI_3001G009700    1    879235    891724      1       1  71930     -0.33533      0.63131         0.63004         0.63004
SORBI_3001G010000    1    905300    911467      1       1  71930       1.0173       0.1545         0.15473         0.15473
SORBI_3001G010100    1    907734    913888      1       1  71930       1.0173       0.1545         0.15473         0.15473
SORBI_3001G010200    1    915429    926294     11       5  71930     -0.29707      0.61679         0.61587          0.5785
SORBI_3001G010300    1    917634    927242     10       4  71930      -0.3405      0.63326         0.68709          0.5473
SORBI_3001G010400    1    923774    930058      2       1  71930      -1.0779      0.85946         0.85213         0.86427
SORBI_3001G010500    1    928875    935769      1       1  71930       1.0513      0.14656          0.1469          0.1469
SORBI_3001G010600    1    932690    940671      1       1  71930       1.0513      0.14656          0.1469          0.1469
SORBI_3001G010700    1    938000    947188      2       1  71930      -2.3733      0.99118         0.99066         0.99119
SORBI_3001G010800    1    946055    952515      2       1  71930      -2.3733      0.99118         0.99066         0.99119
SORBI_3001G011600    1   1002121   1008547      1       1  71930       0.2686      0.39412         0.39352         0.39352
SORBI_3001G011700    1   1003669   1012890      1       1  71930       0.2686      0.39412         0.39352         0.39352
SORBI_3001G011800    1   1013540   1018301      1       1  71930      0.92176      0.17833         0.17852         0.17852
SORBI_3001G012000    1   1029520   1036071      1       1  71930      -1.8581      0.96842          0.9678          0.9678
SORBI_3001G012100    1   1040020   1049090      1       1  71930     0.023155      0.49076         0.48997         0.48997
SORBI_3001G012200    1   1046825   1052688      2       1  71930       0.6108      0.27067         0.26506         0.27629
SORBI_3001G012600    1   1171739   1178242      5       3  71930      -0.1822      0.57229         0.57082         0.54464
SORBI_3001G012800    1   1201141   1209730      7       3  71930      -0.1209      0.54812         0.49445          0.5523
SORBI_3001G012900    1   1209147   1223198      8       6  71930       1.5083     0.065744        0.075797        0.073893
SORBI_3001G013000    1   1219172   1226186      6       3  71930       0.2113      0.41633         0.37509          0.4537
SORBI_3001G013200    1   1229050   1236117      2       2  71930      0.96692      0.16679         0.17524         0.16069
SORBI_3001G013300    1   1233446   1241001      1       1  71930     -0.66987      0.74853         0.74701         0.74701
SORBI_3001G013400    1   1237115   1245410      1       1  71930     -0.66987      0.74853         0.74701         0.74701
SORBI_3001G014100    1   1271048   1281860     12       6  71930      0.16393      0.43489         0.46467         0.38991
SORBI_3001G014300    1   1297764   1307513      2       2  71930       1.9731     0.024244        0.027657        0.022807
SORBI_3001G014800    1   1323521   1331282      2       2  71930     -0.87124      0.80819         0.83299         0.77694
SORBI_3001G014900    1   1329078   1342579      3       3  71930      -0.7726      0.78012         0.78704         0.75687
SORBI_3001G015000    1   1339705   1347061      2       2  71930        1.223      0.11067         0.11458         0.10825
SORBI_3001G015100    1   1344247   1350023      4       3  71930      0.65845      0.25512         0.36765         0.17712
SORBI_3001G015200    1   1346406   1354435      3       2  71930      -1.0505      0.85325         0.88088         0.81079
SORBI_3001G015400    1   1352962   1371982      5       4  71930       1.9567     0.025189       0.0092762        0.084518
SORBI_3001G015800    1   1385666   1393790      1       1  71930     -0.66093      0.74567          0.7443          0.7443
SORBI_3001G016201    1   1409835   1420917      3       3  71930       1.2502      0.10561        0.090994         0.12735
SORBI_3001G016300    1   1417645   1424725      3       3  71930       1.2502      0.10561        0.090994         0.12735
SORBI_3001G016400    1   1426305   1433270      3       2  71930     -0.57644      0.71784          0.7109         0.71031
SORBI_3001G016500    1   1430980   1437566      3       2  71930     -0.57644      0.71784          0.7109         0.71031
SORBI_3001G016700    1   1439609   1451144      7       4  71930       1.3078     0.095478         0.10293        0.096412
SORBI_3001G016800    1   1448134   1454644      5       2  71930      0.86953      0.19228         0.18072         0.20753
SORBI_3001G017000    1   1471135   1476616      1       1  71930     -0.24235      0.59575         0.59439         0.59439
SORBI_3001G017100    1   1475012   1481956      1       1  71930     -0.24235      0.59575         0.59439         0.59439
SORBI_3001G017200    1   1478415   1487939      3       1  71930       1.4297     0.076407        0.084641        0.070536
SORBI_3001G017300    1   1484492   1493239      5       2  71930       1.3118     0.094795         0.10837        0.084888
SORBI_3001G017400    1   1491296   1496703      2       2  71930      0.97905      0.16378         0.17109         0.15787
SORBI_3001G017600    1   1495655   1505070      6       4  71930      0.71296      0.23794         0.26199         0.21751
SORBI_3001G017700    1   1501221   1513448      7       4  71930      0.66118      0.25425         0.28063         0.23061
SORBI_3001G017800    1   1509792   1517241      1       1  71930       0.4536      0.32506         0.32481         0.32481
SORBI_3001G018000    1   1516766   1527254      5       2  71930     -0.55962      0.71213         0.71196         0.70502
SORBI_3001G018100    1   1524528   1533907      6       2  71930   -0.0045051       0.5018          0.6195         0.39091
SORBI_3001G018200    1   1526936   1536824      2       2  71930      0.38496      0.35013         0.38401         0.31651
SORBI_3001G018350    1   1539459   1546042      1       1  71930        1.483     0.069039         0.06945         0.06945
SORBI_3001G018400    1   1544284   1549424      3       3  71930      0.90899      0.18168         0.17284         0.19421
SORBI_3001G018500    1   1551010   1558516      5       3  71930      0.74104      0.22934         0.20502         0.25876
SORBI_3001G018550    1   1553108   1557887      4       3  71930      0.92822      0.17665         0.16205         0.19439
SORBI_3001G018700    1   1560459   1565937      1       1  71930     -0.96149      0.83185         0.83057         0.83057
SORBI_3001G018800    1   1565076   1570503      3       3  71930     -0.34858       0.6363         0.64284         0.61925
SORBI_3001G018900    1   1570016   1576513      3       2  71930       1.7236     0.042392        0.040817        0.049219
SORBI_3001G019000    1   1581482   1585916      1       1  71930       1.6954        0.045        0.045398        0.045399
SORBI_3001G019100    1   1582469   1587090      1       1  71930       1.6954        0.045        0.045398        0.045399
SORBI_3001G019200    1   1585740   1593203      5       3  71930       2.3897    0.0084305        0.020336       0.0049486
SORBI_3001G019300    1   1589351   1596430      5       4  71930       2.3705    0.0088819        0.029467       0.0040928
SORBI_3001G019400    1   1608923   1618733      4       3  71930      -1.0843      0.86089         0.84053          0.8655
SORBI_3001G019500    1   1614904   1619783      4       3  71930      -1.0843      0.86089         0.84053          0.8655
SORBI_3001G019601    1   1621615   1626701      2       2  71930        1.399     0.080908         0.10148        0.067393
SORBI_3001G019700    1   1636610   1646411      1       1  71930     -0.36199      0.64132         0.63984         0.63984
SORBI_3001G019800    1   1644392   1653582      6       4  71930      0.01178       0.4953         0.50865         0.46063
SORBI_3001G020000    1   1660896   1674214      1       1  71930    -0.058915      0.52349         0.52256         0.52256
SORBI_3001G020350    1   1680765   1689187      1       1  71930      -1.0771      0.85927          0.8579          0.8579
SORBI_3001G020500    1   1701099   1707675      1       1  71930     -0.76382      0.77751         0.77625         0.77625
SORBI_3001G020600    1   1702442   1713957      6       4  71930     0.062843      0.47495         0.41859         0.51143
SORBI_3001G020900    1   1725582   1730619      2       1  71930      0.20675       0.4181         0.42211          0.4125
SORBI_3001G021000    1   1727643   1739804      2       1  71930      0.20675       0.4181         0.42211          0.4125
SORBI_3001G021500    1   1768077   1778290      8       5  71930     0.091685      0.46347         0.33011         0.62484
SORBI_3001G021601    1   1776259   1781825     17       7  71930     0.074035      0.47049         0.31672         0.65816
SORBI_3001G021700    1   1778750   1788230     19       8  71930     0.066512      0.47348         0.29166         0.70221
SORBI_3001G021800    1   1785545   1795480      6       4  71930      0.20741      0.41785         0.30908         0.54952
SORBI_3001G021900    1   1790932   1799374      1       1  71930    0.0096537      0.49615         0.49534         0.49534
SORBI_3001G022000    1   1797075   1804499      5       2  71930      -1.4855       0.9313         0.92817          0.9141
SORBI_3001G022100    1   1800533   1807609      2       2  71930      -2.0991       0.9821         0.98215         0.97956
SORBI_3001G022400    1   1810171   1815687      1       1  71930       0.9576      0.16913         0.16942         0.16942
SORBI_3001G022500    1   1812461   1825163      7       4  71930     0.084061       0.4665         0.44224         0.46809
SORBI_3001G022600    1   1821402   1828715      4       3  71930      0.31959      0.37464         0.42799         0.31988
SORBI_3001G022700    1   1824823   1831149      4       3  71930      0.56883      0.28474         0.26066         0.30864
SORBI_3001G023000    1   1841896   1852570      2       2  71930      0.99413      0.16008         0.13605         0.19052
SORBI_3001G023100    1   1848735   1858772      5       3  71930      0.27945      0.38995         0.52835         0.27771
SORBI_3001G023200    1   1855418   1862721      4       2  71930     -0.91621      0.82022         0.81142         0.80313
SORBI_3001G023400    1   1865351   1873783      1       1  71930      0.78148      0.21726         0.21738         0.21738
SORBI_3001G023500    1   1871872   1882619      2       2  71930       0.1834      0.42724          0.4662         0.38751
SORBI_3001G023800    1   1886889   1895254     10       6  71930     0.076753      0.46941         0.34892         0.59664
SORBI_3001G023900    1   1896224   1902808      1       1  71930      0.55535      0.28933          0.2892          0.2892
SORBI_3001G024000    1   1900840   1911071      9       6  71930       0.4611      0.32236         0.21423         0.47384
SORBI_3001G024100    1   1909456   1915557      1       1  71930     -0.16589      0.56588         0.56476         0.56476
SORBI_3001G024200    1   1917703   1926815      3       2  71930     -0.28456      0.61201           0.567         0.64492
SORBI_3001G024250    1   1923084   1927686      1       1  71930     0.036049      0.48562         0.48473         0.48473
SORBI_3001G024400    1   1932662   1937930      9       4  71930      0.52458      0.29994         0.38894         0.22785
SORBI_3001G024500    1   1936235   1946319      6       3  71930      -0.7323      0.76801         0.73997         0.73214
SORBI_3001G024700    1   1944274   1949436      1       1  71930      0.51546      0.30312         0.30294         0.30294
SORBI_3001G024900    1   1949300   1954200      1       1  71930      -0.8902      0.81332         0.81187         0.81187
SORBI_3001G025000    1   1953730   1965322      1       1  71930       1.0259      0.15248         0.15279         0.15279
SORBI_3001G025101    1   1964362   1970430      4       2  71930     -0.66745      0.74776         0.70637         0.77057
SORBI_3001G025700    1   1996516   2003946      1       1  71930     -0.55185      0.70948         0.70804         0.70804
SORBI_3001G025900    1   2007633   2018283      3       2  71930     -0.24757      0.59777         0.59922         0.58485
SORBI_3001G026000    1   2016430   2025764     10       5  71930      0.59344      0.27644         0.33446         0.22687
SORBI_3001G026200    1   2033244   2044131      6       4  71930       0.6042      0.27286         0.41442         0.17889
SORBI_3001G026300    1   2045670   2051443      2       2  71930      -1.3171      0.90609         0.91449         0.89018
SORBI_3001G026400    1   2047444   2054777      1       1  71930     -0.53531      0.70378         0.70239         0.70239
SORBI_3001G026600    1   2070933   2076370      1       1  71930       2.3957    0.0082948         0.00844         0.00844
SORBI_3001G026700    1   2080677   2087528      5       3  71930     -0.27117      0.60687         0.53796         0.66276
SORBI_3001G026800    1   2092324   2100430      2       2  71930      -1.6583      0.95137         0.95618         0.94155
SORBI_3001G026900    1   2096594   2103900      1       1  71930     -0.81984      0.79385         0.79256         0.79256
SORBI_3001G027000    1   2109441   2115889      3       1  71930      0.28903      0.38628         0.38477         0.38688
SORBI_3001G027100    1   2115619   2126838      4       3  71930     -0.24713       0.5976         0.50115         0.68743
SORBI_3001G027200    1   2124385   2128958      2       2  71930     -0.20299      0.58043         0.52602         0.63324
SORBI_3001G027300    1   2125305   2137140      3       2  71930       1.7317     0.041662        0.070594        0.026134
SORBI_3001G027400    1   2131101   2135376      2       2  71930       1.8743     0.030445        0.047261        0.020347
SORBI_3001G027500    1   2131792   2136894      2       2  71930       1.8743     0.030445        0.047261        0.020347
SORBI_3001G027600    1   2133954   2139994      2       2  71930      0.66428      0.25325         0.22026         0.29122
SORBI_3001G027700    1   2137495   2142578      1       1  71930       1.0035       0.1578         0.15811         0.15811
SORBI_3001G028000    1   2166794   2171814      1       1  71930      -1.9847      0.97641          0.9759          0.9759
SORBI_3001G028100    1   2176240   2187016      3       2  71930       1.1842      0.11818         0.10943         0.13319
SORBI_3001G028200    1   2184952   2204877      2       2  71930     -0.83091      0.79699         0.81556         0.76846
SORBI_3001G028301    1   2190291   2201388      2       2  71930     -0.83091      0.79699         0.81556         0.76846
SORBI_3001G028400    1   2236553   2244355     11       5  71930       1.2454       0.1065        0.092528         0.14082
SORBI_3001G028500    1   2239769   2248330     10       4  71930       1.4056     0.079924        0.074475         0.10568
