GENE               CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
SORBI_3001G000100    1      1951      2616      1       1  77711     -0.74392      0.77154         0.77005         0.77005
SORBI_3001G000800    1     62892     69306      2       2  77711     -0.75547      0.77502          0.8041         0.74004
SORBI_3001G000900    1     79159     81636      4       3  77711      0.84334      0.19952         0.26146         0.15479
SORBI_3001G001200    1    109968    112306      1       1  77711      -2.3876      0.99152         0.99129         0.99129
SORBI_3001G001300    1    112766    116048      2       2  77711      -1.5547      0.93999         0.94667         0.92795
SORBI_3001G002000    1    162161    167916      1       1  77711     -0.83807      0.79901         0.79761         0.79761
SORBI_3001G002100    1    173605    175832      1       1  77711       2.1879     0.014337        0.014498        0.014498
SORBI_3001G002700    1    258383    260238      1       1  77711        1.184      0.11821         0.11858         0.11858
SORBI_3001G003400    1    298066    299728      3       2  77711      0.79333      0.21379         0.24258          0.1896
SORBI_3001G003500    1    300363    306318      1       1  77711       1.5639     0.058921        0.059313        0.059313
SORBI_3001G003600    1    309245    311054      3       2  77711       1.7105     0.043586        0.040539        0.048694
SORBI_3001G003900    1    334170    338183      2       2  77711     -0.59068      0.72263         0.70248         0.73254
SORBI_3001G004100    1    355496    360888      3       3  77711      -1.4714      0.92941         0.93371         0.91174
SORBI_3001G004400    1    380347    391045      1       1  77711     -0.44136      0.67052         0.66902         0.66902
SORBI_3001G005100    1    415997    419707      1       1  77711      -1.7243      0.95767         0.95698         0.95698
SORBI_3001G006300    1    576040    577925      1       1  77711      0.37507       0.3538         0.35345         0.35345
SORBI_3001G006400    1    583778    588934      1       1  77711      0.24616      0.40278         0.40226         0.40226
SORBI_3001G006600    1    661532    669834      1       1  77711     0.092085      0.46332         0.46248         0.46248
SORBI_3001G006800    1    691687    694091      4       3  77711      -1.2666      0.89735         0.91066         0.85289
SORBI_3001G007000    1    705245    711484      1       1  77711      -1.4976      0.93288         0.93189         0.93189
SORBI_3001G007500    1    728051    731978      1       1  77711       1.7556     0.039577        0.039847        0.039847
SORBI_3001G007800    1    739596    746898      3       3  77711     -0.55186      0.70948         0.65432          0.7563
SORBI_3001G008200    1    759332    762941      1       1  77711      0.22907      0.40941          0.4088          0.4088
SORBI_3001G008300    1    766997    772094      2       2  77711     -0.56428      0.71372         0.70238         0.71532
SORBI_3001G008800    1    824643    826523      2       1  77711        2.273     0.011514        0.011203        0.012291
SORBI_3001G009000    1    833474    841001      2       2  77711     -0.97763      0.83587         0.82174         0.84322
SORBI_3001G009200    1    848269    854834      5       4  77711      0.06158      0.47545         0.51906         0.41348
SORBI_3001G009300    1    860540    865043      1       1  77711     -0.28795      0.61331         0.61215         0.61215
SORBI_3001G009700    1    881235    889724      1       1  77711      -0.5998      0.72568         0.72428         0.72428
SORBI_3001G009800    1    896282    899367      1       1  77711       2.2344     0.012727        0.012922        0.012922
SORBI_3001G010100    1    909734    911888      1       1  77711      0.43796      0.33071         0.33041         0.33041
SORBI_3001G010200    1    917429    924294      6       4  77711        0.943      0.17284         0.10269         0.30292
SORBI_3001G010300    1    919634    925242      6       4  77711        0.943      0.17284         0.10269         0.30292
SORBI_3001G011800    1   1015540   1016301      1       1  77711    -0.078082      0.53112         0.53024         0.53024
SORBI_3001G012000    1   1031520   1034071      1       1  77711     -0.35432      0.63845         0.63699         0.63699
SORBI_3001G012100    1   1042020   1047090      1       1  77711      -1.6497       0.9505         0.94964         0.94964
SORBI_3001G012800    1   1203141   1207730      5       2  77711      0.77892      0.21801         0.16721         0.28685
SORBI_3001G012900    1   1211147   1221198      5       4  77711      0.31602      0.37599         0.35801         0.38219
SORBI_3001G013000    1   1221172   1224186      4       3  77711       0.2935      0.38457         0.31311          0.4601
SORBI_3001G013200    1   1231050   1234117      2       2  77711      0.53607      0.29595           0.335         0.26085
SORBI_3001G013300    1   1235446   1239001      2       2  77711       1.2612      0.10362        0.084332         0.12994
SORBI_3001G014100    1   1273048   1279860      6       3  77711     -0.48054      0.68458          0.6106         0.73115
SORBI_3001G014300    1   1299764   1305513      2       2  77711      0.54825      0.29176         0.27627         0.30748
SORBI_3001G015200    1   1348406   1352435      3       2  77711      0.20222      0.41987         0.42264         0.41039
SORBI_3001G015400    1   1354962   1369982      5       4  77711      -1.7721      0.96181         0.92568          0.9772
SORBI_3001G015800    1   1387666   1391790      1       1  77711     -0.47543      0.68276         0.68122         0.68122
SORBI_3001G016201    1   1411835   1418917      2       2  77711      0.28385      0.38826         0.36648         0.40845
SORBI_3001G016700    1   1441609   1449144      7       3  77711      0.77561      0.21899          0.2027          0.2404
SORBI_3001G016800    1   1450134   1452644      2       1  77711      0.37966       0.3521         0.33575           0.368
SORBI_3001G017200    1   1480415   1485939      2       1  77711      -1.2799      0.89971         0.91842         0.87763
SORBI_3001G017700    1   1503221   1511448      6       4  77711      -1.2522      0.89476         0.83945         0.92019
SORBI_3001G018000    1   1518766   1525254      1       1  77711      -1.1652      0.87802          0.8768          0.8768
SORBI_3001G018100    1   1526528   1531907      1       1  77711      0.25095      0.40093         0.40041         0.40041
SORBI_3001G018200    1   1528936   1534824      2       2  77711     -0.41797      0.66202         0.69233         0.62595
SORBI_3001G018500    1   1553010   1556516      4       2  77711       2.4804    0.0065618       0.0083017       0.0057387
SORBI_3001G018800    1   1567076   1568503      1       1  77711       2.3134     0.010349        0.010524        0.010524
SORBI_3001G018900    1   1572016   1574513      1       1  77711     -0.27309      0.60761          0.6067          0.6067
SORBI_3001G019200    1   1587740   1591203      2       2  77711       2.1595     0.015407          0.0155        0.016633
SORBI_3001G019300    1   1591351   1594430      3       2  77711     -0.17867       0.5709         0.64407         0.49658
SORBI_3001G019400    1   1610923   1616733      1       1  77711      -0.8761      0.80951         0.80818         0.80818
SORBI_3001G019601    1   1623615   1624701      3       3  77711       1.7462     0.040389         0.07883        0.023078
SORBI_3001G019800    1   1646392   1651582      6       4  77711       1.5039     0.066306         0.12497        0.041531
SORBI_3001G020000    1   1662896   1672214      1       1  77711    -0.064224       0.5256         0.52468         0.52468
SORBI_3001G020600    1   1704442   1711957      5       4  77711       1.5392     0.061874        0.088932         0.04902
SORBI_3001G020900    1   1727582   1728619      2       1  77711     -0.54093      0.70572         0.70407         0.70406
SORBI_3001G021500    1   1770077   1776290      3       3  77711       1.2742       0.1013        0.095788         0.11217
SORBI_3001G021601    1   1778259   1779825      9       5  77711       1.6791     0.046568        0.030423        0.086668
SORBI_3001G021700    1   1780750   1786230      3       1  77711       1.8052     0.035523        0.042114        0.030858
SORBI_3001G021800    1   1787545   1793480      2       2  77711       1.3343     0.091047         0.10676        0.079288
SORBI_3001G021900    1   1792932   1797374      1       1  77711      0.56361      0.28651          0.2864          0.2864
SORBI_3001G022000    1   1799075   1802499      5       2  77711       3.1305   0.00087256        0.031839      4.4704e-05
SORBI_3001G022500    1   1814461   1823163      4       3  77711       4.1433   1.7116e-05      6.6452e-06      9.4914e-05
SORBI_3001G022600    1   1823402   1826715      1       1  77711     0.021866      0.49128         0.49048         0.49048
SORBI_3001G022900    1   1839741   1842448      1       1  77711      -1.0002      0.84139         0.83981         0.83981
SORBI_3001G023000    1   1843896   1850570      4       2  77711      0.63564      0.26251         0.25596         0.26894
SORBI_3001G023100    1   1850735   1856772      1       1  77711     -0.11955      0.54758         0.54647         0.54647
SORBI_3001G023800    1   1888889   1893254      9       6  77711      0.11112      0.45576         0.33289         0.59587
SORBI_3001G024000    1   1902840   1909071      9       7  77711       2.8451    0.0022195       0.0032216       0.0031589
SORBI_3001G024200    1   1919703   1924815      1       1  77711     -0.49509      0.68973         0.68829         0.68829
SORBI_3001G025000    1   1955730   1963322      1       1  77711      -1.5909      0.94418         0.94332         0.94332
SORBI_3001G025700    1   1998516   2001946      1       1  77711      0.20036       0.4206         0.42003         0.42003
SORBI_3001G025900    1   2009633   2016283      2       2  77711       5.1755   1.1367e-07      3.3909e-06       5.749e-09
SORBI_3001G026000    1   2018430   2023764      4       1  77711       7.0853   6.9395e-13      2.7923e-10      2.6183e-15
SORBI_3001G026200    1   2035244   2042131      5       3  77711       3.6196    0.0001475       0.0075921      5.3595e-06
SORBI_3001G026400    1   2049444   2052777      1       1  77711      0.42004      0.33723         0.33685         0.33685
SORBI_3001G026700    1   2082677   2085528      4       2  77711      -1.0828      0.86054         0.88291          0.8313
SORBI_3001G027100    1   2117619   2124838      4       2  77711     -0.66994      0.74855         0.76408         0.72612
SORBI_3001G027300    1   2127305   2135140      4       3  77711      0.61608      0.26892         0.30454         0.23681
SORBI_3001G027500    1   2133792   2134894      1       1  77711       1.3739     0.084737        0.085097        0.085097
SORBI_3001G028200    1   2186952   2202877      2       2  77711       0.5732      0.28325         0.30802          0.2601
SORBI_3001G028301    1   2192291   2199388      2       2  77711       0.5732      0.28325         0.30802          0.2601
SORBI_3001G028400    1   2238553   2242355      9       5  77711      0.72583      0.23397         0.18628         0.29957
SORBI_3001G028500    1   2241769   2246330     10       4  77711       1.1977      0.11553        0.093327         0.16553
SORBI_3001G029200    1   2270791   2273666      3       2  77711       0.2696      0.39373         0.41158         0.37006
SORBI_3001G029400    1   2287542   2290693      5       3  77711     -0.52331      0.69962         0.69717         0.67401
SORBI_3001G029500    1   2293896   2297802      3       1  77711     0.061366      0.47553         0.46039          0.4874
SORBI_3001G029700    1   2303416   2307009      8       3  77711      0.69234      0.24436         0.40494         0.14771
SORBI_3001G029800    1   2308204   2312822      1       1  77711     -0.90715      0.81784         0.81647         0.81647
SORBI_3001G029900    1   2313297   2316186      1       1  77711      0.96086      0.16831         0.16864         0.16864
SORBI_3001G030000    1   2316213   2323874      2       1  77711       0.5654       0.2859         0.28792         0.28353
SORBI_3001G030400    1   2341337   2346547      3       2  77711       1.5234     0.063831        0.084478        0.050756
SORBI_3001G030500    1   2360333   2362090      2       2  77711      -1.4452      0.92579         0.92467          0.9215
SORBI_3001G030600    1   2365663   2367422      4       3  77711     -0.25682      0.60134          0.5168         0.67087
SORBI_3001G031100    1   2384786   2387678      1       1  77711       1.3181     0.093736        0.094058        0.094058
SORBI_3001G031200    1   2389159   2391267      1       1  77711       1.3515     0.088263        0.088663        0.088663
SORBI_3001G031300    1   2391412   2395531      2       1  77711       1.6388     0.050628        0.048032        0.054049
SORBI_3001G031700    1   2408109   2411763      6       5  77711     -0.59935      0.72553           0.861         0.57563
SORBI_3001G031900    1   2416592   2424714      1       1  77711      0.48949      0.31225         0.31204         0.31204
SORBI_3001G032000    1   2434482   2436725      1       1  77711     -0.82663      0.79578          0.7944          0.7944
SORBI_3001G032200    1   2447498   2453413      4       3  77711      -1.0814      0.86024         0.85831         0.84867
SORBI_3001G032300    1   2457833   2460832      7       4  77711      -1.3724      0.91503         0.90573         0.89513
SORBI_3001G032400    1   2465532   2468560      1       1  77711       0.3108      0.37798         0.37747         0.37747
SORBI_3001G032700    1   2477362   2481048      1       1  77711      -1.1793      0.88086         0.87963         0.87963
SORBI_3001G033000    1   2489317   2497493      3       3  77711      -1.2422      0.89291         0.88413         0.88692
SORBI_3001G033100    1   2497419   2499730      2       2  77711     -0.02626      0.51048         0.53443         0.47902
SORBI_3001G033900    1   2553818   2555716      1       1  77711     -0.10196      0.54061          0.5395          0.5395
SORBI_3001G034100    1   2587306   2590571      1       1  77711      -1.5746      0.94232         0.94142         0.94142
SORBI_3001G034200    1   2592125   2595232      2       2  77711    -0.050071      0.51997         0.52912         0.50713
SORBI_3001G034300    1   2611023   2613615      1       1  77711     0.085045      0.46611         0.46522         0.46522
SORBI_3001G034600    1   2628433   2631312      3       2  77711      0.42941      0.33381         0.26425         0.41525
SORBI_3001G034700    1   2632380   2634538      2       1  77711      0.50676      0.30616         0.31738         0.29475
SORBI_3001G035200    1   2649168   2658158      5       3  77711      0.47364      0.31788         0.23629         0.42195
SORBI_3001G035400    1   2660718   2664113      2       2  77711      0.71807      0.23636         0.27755         0.20159
SORBI_3001G035900    1   2687602   2695012      3       3  77711     -0.21815      0.58634         0.54205         0.61706
SORBI_3001G036050    1   2695391   2704540      6       3  77711       1.3463     0.089096        0.078823         0.11976
SORBI_3001G036200    1   2705291   2707284      1       1  77711      0.52503      0.29978         0.29958         0.29958
SORBI_3001G036300    1   2707859   2716150     13       7  77711     -0.93304       0.8246         0.81033         0.79583
SORBI_3001G036400    1   2710011   2711501      1       1  77711      -1.0833      0.86066         0.85904         0.85904
SORBI_3001G036800    1   2736885   2740680      5       2  77711      0.98423       0.1625         0.15203         0.17574
SORBI_3001G036900    1   2743597   2745712      1       1  77711       1.1833      0.11835         0.11872         0.11872
SORBI_3001G037000    1   2747323   2751063      1       1  77711       1.9688      0.02449        0.024728        0.024728
SORBI_3001G037100    1   2753597   2779533      7       3  77711      0.71473      0.23739         0.17618         0.32347
SORBI_3001G037500    1   2794698   2803370      3       3  77711      0.30591      0.37984         0.46938         0.30206
SORBI_3001G038000    1   2822265   2827550      4       3  77711     -0.61581      0.73099          0.7705         0.66592
SORBI_3001G038100    1   2830310   2834726      3       2  77711       1.2598      0.10388        0.078834         0.14104
SORBI_3001G038200    1   2839249   2843814      8       2  77711     -0.71736      0.76342         0.83813         0.68348
SORBI_3001G038300    1   2851085   2854638      5       3  77711      0.84971      0.19774         0.25835         0.15472
SORBI_3001G038450    1   2875946   2878341      7       5  77711      -1.9274      0.97303         0.98521          0.9384
SORBI_3001G038800    1   2900104   2910005     12       6  77711     -0.41791      0.66199          0.5653         0.71386
SORBI_3001G038900    1   2913500   2915031      1       1  77711     -0.30887      0.62129         0.62011         0.62011
SORBI_3001G039100    1   2917308   2920126      7       3  77711     -0.54998      0.70883          0.7835         0.61396
SORBI_3001G039300    1   2932598   2937249      2       2  77711      0.24163      0.40453         0.39705          0.4094
SORBI_3001G039400    1   2938433   2941774      2       2  77711      -1.3958      0.91861         0.92822          0.9007
SORBI_3001G039500    1   2947143   2951769      2       2  77711     -0.96816      0.83352         0.83715         0.82034
SORBI_3001G039600    1   2951770   2955625      3       1  77711       -1.457      0.92744         0.92641         0.92641
SORBI_3001G039900    1   2966595   2970669      2       2  77711      0.38969      0.34838         0.33342         0.36113
SORBI_3001G040100    1   2981544   2987118      1       1  77711      0.12076      0.45194         0.45132         0.45132
SORBI_3001G040300    1   3005325   3008219      2       2  77711     -0.43189      0.66709         0.65717         0.66797
SORBI_3001G040500    1   3016610   3019552      1       1  77711      0.37995      0.35199         0.35164         0.35164
SORBI_3001G040600    1   3025065   3039737      2       2  77711       0.6577      0.25536         0.28616         0.22788
SORBI_3001G040701    1   3036852   3038472      1       1  77711     -0.54139      0.70588         0.70461         0.70461
SORBI_3001G041400    1   3076815   3081156      5       3  77711     0.091791      0.46343          0.4082         0.50611
