GENE               CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
SORBI_3001G000100    1      1951      2616      1       1  72163       2.2779     0.011365         0.01151         0.01151
SORBI_3001G000800    1     62892     69306      2       2  72163     -0.33913      0.63274         0.58254         0.67704
SORBI_3001G000900    1     79159     81636      4       3  72163     -0.28494      0.61216         0.58232         0.62172
SORBI_3001G001200    1    109968    112306      1       1  72163      0.69926       0.2422         0.24223         0.24223
SORBI_3001G001300    1    112766    116048      2       2  72163     -0.25796      0.60178         0.62787         0.57147
SORBI_3001G002000    1    162161    167916      1       1  72163      0.12159      0.45161         0.45091         0.45091
SORBI_3001G002100    1    173605    175832      1       1  72163      -0.4498      0.67357          0.6722          0.6722
SORBI_3001G002400    1    216906    219523      1       1  72163     -0.77609      0.78115         0.77968         0.77968
SORBI_3001G002700    1    258383    260238      1       1  72163      -1.3066      0.90433         0.90337         0.90337
SORBI_3001G003400    1    298066    299728      3       2  72163     0.067705      0.47301         0.51514         0.42892
SORBI_3001G003500    1    300363    306318      1       1  72163      0.59475        0.276         0.27593         0.27593
SORBI_3001G003600    1    309245    311054      1       1  72163     0.073569      0.47068         0.46983         0.46983
SORBI_3001G003900    1    334170    338183      2       2  72163     -0.43239      0.66727         0.69506         0.63518
SORBI_3001G004100    1    355496    360888      2       2  72163       -1.388      0.91743          0.9313         0.89763
SORBI_3001G004400    1    380347    391045      1       1  72163     -0.11966      0.54762         0.54655         0.54655
SORBI_3001G006300    1    576040    577925      1       1  72163       -1.225      0.88971         0.88848         0.88848
SORBI_3001G006400    1    583778    588934      1       1  72163     -0.27752      0.60931         0.60808         0.60808
SORBI_3001G006800    1    691687    694091      4       3  72163     -0.14587      0.55799         0.62212         0.48306
SORBI_3001G007000    1    705245    711484      1       1  72163     -0.11034      0.54393         0.54285         0.54285
SORBI_3001G007500    1    728051    731978      1       1  72163       2.2769     0.011395        0.011555        0.011555
SORBI_3001G007800    1    739596    746898      1       1  72163      -3.2419      0.99941         0.99938         0.99938
SORBI_3001G008200    1    759332    762941      1       1  72163      -1.1244      0.86957          0.8682          0.8682
SORBI_3001G008300    1    766997    772094      2       2  72163      0.12904      0.44866         0.47622          0.4193
SORBI_3001G008800    1    824643    826523      2       1  72163      -1.2993      0.90309          0.9166         0.88732
SORBI_3001G009000    1    833474    841001      2       2  72163      0.59664      0.27538         0.29599         0.25577
SORBI_3001G009200    1    848269    854834      3       3  72163     -0.53888      0.70501          0.6611         0.73522
SORBI_3001G009300    1    860540    865043      1       1  72163    -0.047037      0.51876         0.51787         0.51787
SORBI_3001G009700    1    881235    889724      1       1  72163      0.93363      0.17525          0.1755          0.1755
SORBI_3001G010200    1    917429    924294      6       4  72163      0.75807       0.2242         0.16129         0.31453
SORBI_3001G010300    1    919634    925242      6       4  72163      0.75807       0.2242         0.16129         0.31453
SORBI_3001G010600    1    934690    938671      1       1  72163     0.018057       0.4928         0.49182         0.49182
SORBI_3001G011600    1   1004121   1006547      2       2  72163       0.4575      0.32366         0.36495         0.28602
SORBI_3001G011800    1   1015540   1016301      1       1  72163    -0.051162       0.5204         0.51931         0.51931
SORBI_3001G012000    1   1031520   1034071      1       1  72163     -0.71102      0.76146          0.7602          0.7602
SORBI_3001G012100    1   1042020   1047090      2       2  72163       0.2836      0.38836         0.36057         0.41531
SORBI_3001G012800    1   1203141   1207730      7       3  72163      0.71249      0.23808         0.24013          0.2393
SORBI_3001G012900    1   1211147   1221198      6       5  72163      0.63994      0.26111         0.20079         0.33923
SORBI_3001G013000    1   1221172   1224186      1       1  72163      0.36292      0.35833         0.35794         0.35794
SORBI_3001G013200    1   1231050   1234117      2       2  72163     0.097175      0.46129          0.4419         0.47541
SORBI_3001G013300    1   1235446   1239001      1       1  72163      -1.3946      0.91843          0.9172          0.9172
SORBI_3001G014100    1   1273048   1279860     12       7  72163      0.75715      0.22448         0.14144         0.36151
SORBI_3001G014300    1   1299764   1305513      2       2  72163      -1.4572      0.92747         0.93456         0.91488
SORBI_3001G015200    1   1348406   1352435      3       2  72163     -0.17761      0.57049         0.53483          0.5967
SORBI_3001G015400    1   1354962   1369982      5       4  72163      -1.6586       0.9514         0.95559         0.92638
SORBI_3001G015800    1   1387666   1391790      1       1  72163      -0.5072      0.69399         0.69263         0.69263
SORBI_3001G016201    1   1411835   1418917      2       2  72163     -0.30975      0.62163         0.57675         0.66249
SORBI_3001G016700    1   1441609   1449144      4       3  72163     -0.70981      0.76109         0.74878         0.75147
SORBI_3001G016800    1   1450134   1452644      2       1  72163      0.74213        0.229         0.21855         0.24028
SORBI_3001G017200    1   1480415   1485939      2       1  72163     -0.61221       0.7298         0.74614         0.71041
SORBI_3001G017600    1   1497655   1503070      1       1  72163      0.53836      0.29516         0.29503         0.29503
SORBI_3001G017700    1   1503221   1511448      4       3  72163      0.49052      0.31188          0.4324         0.22281
SORBI_3001G018000    1   1518766   1525254      1       1  72163       1.6553     0.048936          0.0493          0.0493
SORBI_3001G018100    1   1526528   1531907      1       1  72163       1.7486     0.040182        0.040523        0.040523
SORBI_3001G018200    1   1528936   1534824      1       1  72163       1.7486     0.040182        0.040523        0.040523
SORBI_3001G018500    1   1553010   1556516      4       3  72163   -0.0056112      0.50224         0.50314         0.49389
SORBI_3001G018800    1   1567076   1568503      1       1  72163       1.5958     0.055268         0.05566         0.05566
SORBI_3001G018900    1   1572016   1574513      1       1  72163      0.24144      0.40461         0.40405         0.40405
SORBI_3001G019200    1   1587740   1591203      2       2  72163     -0.17573      0.56975         0.55498         0.57601
SORBI_3001G019300    1   1591351   1594430      3       2  72163      0.48618      0.31342         0.27019         0.36116
SORBI_3001G019400    1   1610923   1616733      1       1  72163      -1.4242       0.9228         0.92166         0.92166
SORBI_3001G019601    1   1623615   1624701      2       2  72163      -2.6265      0.99569         0.99608         0.99439
SORBI_3001G019800    1   1646392   1651582      6       4  72163       -0.136      0.55409         0.48728         0.58251
SORBI_3001G020600    1   1704442   1711957      6       4  72163      0.49602      0.30994         0.32982         0.28809
SORBI_3001G020900    1   1727582   1728619      2       1  72163      -1.4086      0.92053         0.93294         0.90551
SORBI_3001G021500    1   1770077   1776290      3       3  72163       1.3283     0.092041        0.089083        0.099471
SORBI_3001G021601    1   1778259   1779825     11       6  72163      -1.0041      0.84233         0.83576         0.79733
SORBI_3001G021700    1   1780750   1786230      3       2  72163     -0.41336      0.66033          0.7086         0.61121
SORBI_3001G021800    1   1787545   1793480      2       2  72163      0.70151      0.24149         0.22417         0.26054
SORBI_3001G021900    1   1792932   1797374      1       1  72163     -0.33247      0.63023         0.62871         0.62871
SORBI_3001G022000    1   1799075   1802499      5       2  72163      -1.2119      0.88723         0.91619         0.83125
SORBI_3001G022500    1   1814461   1823163      6       4  72163      -1.6254      0.94796         0.95709         0.91134
SORBI_3001G022600    1   1823402   1826715      1       1  72163      0.21932       0.4132         0.41255         0.41255
SORBI_3001G023000    1   1843896   1850570      3       2  72163     -0.66825      0.74801         0.70655         0.76962
SORBI_3001G023100    1   1850735   1856772      1       1  72163     -0.17077       0.5678         0.56678         0.56678
SORBI_3001G023800    1   1888889   1893254      9       6  72163        0.565      0.28604         0.45898         0.17672
SORBI_3001G024000    1   1902840   1909071      7       4  72163      0.52314      0.30044         0.21889         0.40774
SORBI_3001G024200    1   1919703   1924815      2       2  72163     -0.40963      0.65896         0.66391         0.64672
SORBI_3001G024500    1   1938235   1944319      2       2  72163      0.59632      0.27548         0.25133         0.30153
SORBI_3001G025000    1   1955730   1963322      1       1  72163      0.18394      0.42703          0.4264          0.4264
SORBI_3001G025700    1   1998516   2001946      1       1  72163      0.84371      0.19942         0.19962         0.19962
SORBI_3001G025900    1   2009633   2016283      3       2  72163      0.45004      0.32634         0.42106         0.25019
SORBI_3001G026000    1   2018430   2023764      4       1  72163       1.1773      0.11954          0.1391         0.10354
SORBI_3001G026200    1   2035244   2042131      5       3  72163       1.6454     0.049942         0.09423        0.030282
SORBI_3001G026400    1   2049444   2052777      1       1  72163      0.48783      0.31283          0.3126          0.3126
SORBI_3001G026700    1   2082677   2085528      3       2  72163     -0.85455       0.8036         0.78096         0.81017
SORBI_3001G027100    1   2117619   2124838      4       2  72163      0.51882      0.30194         0.25921         0.35004
SORBI_3001G027300    1   2127305   2135140      4       3  72163      -1.0499      0.85313         0.82975         0.85008
