GENE               CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
SORBI_3001G000100    1         0      4616      1       1  73614     -0.54771      0.70805         0.70669         0.70669
SORBI_3001G000400    1     20391     44443      2       1  73614     -0.57173      0.71625         0.70958         0.71986
SORBI_3001G000700    1     51781     65305      1       1  73614      0.36587      0.35723         0.35684         0.35684
SORBI_3001G000800    1     60892     71306      2       2  73614     -0.12413      0.54939         0.50935         0.58387
SORBI_3001G000900    1     77159     83636      4       3  73614     -0.84198       0.8001         0.82192         0.74798
SORBI_3001G001000    1     79932     85350      4       3  73614     -0.84198       0.8001         0.82192         0.74798
SORBI_3001G001200    1    107968    114306      1       1  73614      0.12309      0.45102         0.45029         0.45029
SORBI_3001G001300    1    110766    118048      3       2  73614     -0.47815      0.68373         0.64891         0.70528
SORBI_3001G001400    1    114116    138690      2       2  73614     -0.50529      0.69332          0.7033          0.6741
SORBI_3001G002000    1    160161    169916      2       2  73614      -2.1235      0.98314         0.98016         0.98299
SORBI_3001G002050    1    168558    176521      2       2  73614      -1.5059      0.93396         0.94537         0.91826
SORBI_3001G002100    1    171605    177832      2       2  73614      -1.5059      0.93396         0.94537         0.91826
SORBI_3001G002200    1    183033    206958      2       2  73614     -0.83411      0.79789         0.80406         0.78505
SORBI_3001G002400    1    214906    221523      1       1  73614      0.59027       0.2775         0.27743         0.27743
SORBI_3001G002500    1    243300    249573      3       3  73614      -1.3408      0.91001         0.92178          0.8836
SORBI_3001G002650    1    254359    260324      1       1  73614      0.70518      0.24035         0.24039         0.24039
SORBI_3001G002700    1    256383    262238      1       1  73614      0.70518      0.24035         0.24039         0.24039
SORBI_3001G003100    1    276106    284181      1       1  73614       -1.386      0.91712         0.91597         0.91597
SORBI_3001G003200    1    280881    287375      1       1  73614       -1.386      0.91712         0.91597         0.91597
SORBI_3001G003300    1    288474    300496      3       2  73614      -1.9655      0.97532         0.98164         0.96443
SORBI_3001G003400    1    296066    301728      4       3  73614      -0.4993      0.69122         0.77727         0.59654
SORBI_3001G003500    1    298363    308318      5       4  73614     -0.84679      0.80144         0.87432         0.70333
SORBI_3001G003600    1    307245    313054      3       2  73614      -1.5982        0.945         0.97426         0.91295
SORBI_3001G003900    1    332170    340183      3       3  73614       0.1143       0.4545         0.48552         0.41803
SORBI_3001G004100    1    353496    362888      3       3  73614     -0.17008      0.56753         0.53603         0.58659
SORBI_3001G004300    1    373343    380198      1       1  73614     -0.55096      0.70917         0.70795         0.70795
SORBI_3001G004400    1    378347    393045      1       1  73614      -1.4544      0.92708         0.92596         0.92596
SORBI_3001G005000    1    410931    418475      1       1  73614      0.32967      0.37082         0.37028         0.37028
SORBI_3001G005100    1    413997    421707      1       1  73614      0.32967      0.37082         0.37028         0.37028
SORBI_3001G005900    1    561262    567110      2       2  73614       1.1339      0.12842         0.11251         0.14912
SORBI_3001G006300    1    574040    579925      1       1  73614      -1.0582      0.85502         0.85375         0.85375
SORBI_3001G006400    1    581778    590934      1       1  73614      -1.4541      0.92704         0.92603         0.92603
SORBI_3001G006600    1    659532    671834      1       1  73614       -1.665      0.95205         0.95118         0.95118
SORBI_3001G006800    1    689687    696091      4       3  73614      0.72234      0.23504         0.20537         0.27081
SORBI_3001G007000    1    703245    713484      1       1  73614       1.0911      0.13762         0.13792         0.13792
SORBI_3001G007400    1    723425    730412      1       1  73614       1.9357     0.026453        0.026739         0.02674
SORBI_3001G007500    1    726051    733978      2       1  73614       1.6621     0.048245        0.066266        0.035849
SORBI_3001G007600    1    730601    738502      1       1  73614      0.87349       0.1912          0.1914          0.1914
SORBI_3001G007800    1    737596    748898      3       3  73614    -0.045737      0.51824         0.50138          0.5288
SORBI_3001G008000    1    750109    758388      1       1  73614      0.97591      0.16455         0.16482         0.16482
SORBI_3001G008100    1    755179    761201      2       2  73614      0.57758      0.28177         0.26208         0.30247
SORBI_3001G008200    1    757332    764941      1       1  73614      0.28611       0.3874         0.38692         0.38692
SORBI_3001G008300    1    764997    774094      4       3  73614       1.9444     0.025924        0.014753        0.054072
SORBI_3001G008400    1    770342    780931      1       1  73614       1.1025      0.13512         0.13545         0.13545
SORBI_3001G008800    1    822643    828523      4       2  73614       1.8408     0.032822        0.069933        0.017119
SORBI_3001G008900    1    827021    832644     12       8  73614     -0.44271      0.67101         0.58073         0.71733
SORBI_3001G009000    1    831474    843001      9       7  73614      0.22085       0.4126         0.23987         0.67772
SORBI_3001G009100    1    839322    849804      1       1  73614       1.0611      0.14433         0.14462         0.14462
SORBI_3001G009200    1    846269    856834      3       3  73614   -0.0038044      0.50152         0.55999         0.43872
