GENE               CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
SORBI_3001G000100    1      1951      2616      1       1  71930     -0.10588      0.54216         0.54094         0.54094
SORBI_3001G000800    1     62892     69306      2       2  71930       1.1499      0.12509         0.15401         0.10341
SORBI_3001G000900    1     79159     81636      4       3  71930       1.5777      0.05732         0.10959        0.032978
SORBI_3001G001200    1    109968    112306      1       1  71930      -0.1099      0.54376          0.5429          0.5429
SORBI_3001G001300    1    112766    116048      2       2  71930     -0.39759      0.65453         0.67946         0.62237
SORBI_3001G002000    1    162161    167916      2       2  71930        1.198      0.11547         0.14653        0.093272
SORBI_3001G002100    1    173605    175832      1       1  71930       3.3754   0.00036849      0.00038328      0.00038328
SORBI_3001G002400    1    216906    219523      1       1  71930      -1.1359        0.872         0.87098         0.87098
SORBI_3001G002700    1    258383    260238      1       1  71930     -0.85972      0.80503         0.80347         0.80347
SORBI_3001G003400    1    298066    299728      3       2  71930    -0.021662      0.50864         0.45575         0.55471
SORBI_3001G003500    1    300363    306318      1       1  71930       1.0196      0.15395         0.15425         0.15425
SORBI_3001G003600    1    309245    311054      3       2  71930      0.37054      0.35549         0.43889         0.28446
SORBI_3001G003900    1    334170    338183      3       3  71930      0.75242       0.2259         0.24883         0.20604
SORBI_3001G004100    1    355496    360888      3       3  71930     -0.80689      0.79014         0.73189         0.83724
SORBI_3001G004400    1    380347    391045      1       1  71930      -1.1154      0.86766         0.86644         0.86644
SORBI_3001G006300    1    576040    577925      1       1  71930     -0.91019      0.81864         0.81719         0.81719
SORBI_3001G006400    1    583778    588934      1       1  71930      -1.5838      0.94338         0.94245         0.94245
SORBI_3001G006600    1    661532    669834      1       1  71930     -0.36041      0.64073         0.63944         0.63944
SORBI_3001G006800    1    691687    694091      4       3  71930     -0.35159      0.63743         0.53562         0.71021
SORBI_3001G007000    1    705245    711484      1       1  71930      0.21148      0.41626         0.41565         0.41565
SORBI_3001G007500    1    728051    731978      1       1  71930     -0.33626      0.63166         0.63041         0.63041
SORBI_3001G007800    1    739596    746898      3       3  71930      0.93792      0.17414         0.11598         0.26747
SORBI_3001G008200    1    759332    762941      1       1  71930       1.9333     0.026599        0.026949        0.026949
SORBI_3001G008300    1    766997    772094      4       3  71930      0.66347      0.25352         0.23066         0.27892
SORBI_3001G008800    1    824643    826523      2       1  71930     -0.37615       0.6466         0.68251         0.60963
SORBI_3001G009000    1    833474    841001      2       2  71930   -0.0021192      0.50085         0.46319         0.53593
SORBI_3001G009200    1    848269    854834      3       3  71930      0.54499      0.29288         0.34236         0.24909
SORBI_3001G009300    1    860540    865043      2       2  71930       0.4669      0.32029          0.2646         0.38616
SORBI_3001G009700    1    881235    889724      1       1  71930     -0.33637       0.6317         0.63004         0.63004
SORBI_3001G010100    1    909734    911888      1       1  71930       1.0177       0.1544         0.15473         0.15473
SORBI_3001G010200    1    917429    924294      8       4  71930     -0.21421      0.58481         0.60533         0.54332
SORBI_3001G010300    1    919634    925242      7       4  71930     -0.23229      0.59185         0.62555         0.53682
SORBI_3001G010600    1    934690    938671      1       1  71930       1.0511       0.1466          0.1469          0.1469
SORBI_3001G011600    1   1004121   1006547      1       1  71930      0.26873      0.39407         0.39352         0.39352
SORBI_3001G011800    1   1015540   1016301      1       1  71930      0.92177      0.17832         0.17852         0.17852
SORBI_3001G012000    1   1031520   1034071      1       1  71930       -1.859      0.96849          0.9678          0.9678
SORBI_3001G012100    1   1042020   1047090      1       1  71930     0.023074       0.4908         0.48997         0.48997
SORBI_3001G012800    1   1203141   1207730      7       3  71930     -0.11825      0.54706         0.49445         0.56444
SORBI_3001G012900    1   1211147   1221198      7       6  71930       1.5464     0.061006        0.058415        0.073708
SORBI_3001G013000    1   1221172   1224186      3       1  71930      0.72037      0.23565         0.28538         0.19484
SORBI_3001G013200    1   1231050   1234117      2       2  71930      0.97068      0.16586         0.17524         0.15801
SORBI_3001G013300    1   1235446   1239001      1       1  71930     -0.67002      0.74858         0.74701         0.74701
SORBI_3001G014100    1   1273048   1279860     12       7  71930      0.12262       0.4512         0.46467         0.41973
SORBI_3001G014300    1   1299764   1305513      2       2  71930       1.9693     0.024458        0.027657          0.0226
SORBI_3001G015200    1   1348406   1352435      3       2  71930      -1.0635      0.85621         0.88088         0.82061
SORBI_3001G015400    1   1354962   1369982      5       4  71930       1.9534     0.025387       0.0092762        0.084518
SORBI_3001G015800    1   1387666   1391790      1       1  71930     -0.66133       0.7458          0.7443          0.7443
SORBI_3001G016201    1   1411835   1418917      2       2  71930      0.64378      0.25986         0.29739         0.22699
SORBI_3001G016700    1   1441609   1449144      4       3  71930       1.4376     0.075271        0.072296        0.085417
SORBI_3001G016800    1   1450134   1452644      2       1  71930        1.169       0.1212         0.11802         0.12566
SORBI_3001G017200    1   1480415   1485939      2       1  71930       1.2007      0.11493         0.12033         0.11037
SORBI_3001G017600    1   1497655   1503070      1       1  71930       1.3503     0.088457        0.088805        0.088805
SORBI_3001G017700    1   1503221   1511448      6       4  71930       0.4798      0.31569         0.40919         0.23979
SORBI_3001G018000    1   1518766   1525254      1       1  71930   -0.0087826       0.5035         0.50252         0.50252
SORBI_3001G018100    1   1526528   1531907      1       1  71930      -1.6927      0.95474         0.95408         0.95408
SORBI_3001G018200    1   1528936   1534824      2       2  71930      0.39298      0.34717         0.38401         0.31175
SORBI_3001G018500    1   1553010   1556516      4       2  71930      0.93723      0.17432         0.16205         0.18899
SORBI_3001G018800    1   1567076   1568503      1       1  71930        0.549       0.2915         0.29137         0.29137
SORBI_3001G018900    1   1572016   1574513      1       1  71930      -1.9772      0.97599         0.97545         0.97545
SORBI_3001G019200    1   1587740   1591203      2       2  71930       2.8326    0.0023087       0.0035122       0.0017944
SORBI_3001G019300    1   1591351   1594430      3       2  71930      0.30774      0.37914          0.3458         0.41048
SORBI_3001G019400    1   1610923   1616733      1       1  71930    0.0030079       0.4988         0.49787         0.49787
SORBI_3001G019601    1   1623615   1624701      2       2  71930       1.4317     0.076112         0.10148        0.058445
SORBI_3001G019800    1   1646392   1651582      6       4  71930    -0.035671      0.51423         0.50865         0.48286
SORBI_3001G020000    1   1662896   1672214      1       1  71930    -0.059039      0.52354         0.52256         0.52256
SORBI_3001G020600    1   1704442   1711957      6       4  71930     0.021708      0.49134         0.41859         0.55092
SORBI_3001G020900    1   1727582   1728619      2       1  71930      0.20798      0.41762         0.42211         0.41198
SORBI_3001G021500    1   1770077   1776290      3       3  71930      0.43847      0.33052         0.26161         0.41255
SORBI_3001G021601    1   1778259   1779825     11       6  71930      0.07799      0.46892         0.32369         0.63605
SORBI_3001G021700    1   1780750   1786230      3       1  71930      0.59492      0.27595         0.26274         0.28947
