GENE               CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
SORBI_3001G000100    1         0      4616      1       1  71913      -1.5038      0.93369         0.93281         0.93281
SORBI_3001G000400    1     20391     44443      2       1  71913      -1.6039      0.94563         0.94439         0.94439
SORBI_3001G000700    1     51781     65305      1       1  71913      -1.6399      0.94948         0.94868         0.94868
SORBI_3001G000800    1     60892     71306      2       2  71913     -0.48972      0.68783          0.7244         0.64798
SORBI_3001G000900    1     77159     83636      4       3  71913     0.071242       0.4716         0.46105          0.4692
SORBI_3001G001000    1     79932     85350      4       3  71913     0.071242       0.4716         0.46105          0.4692
SORBI_3001G001300    1    110766    118048      2       2  71913      -1.0814      0.86024         0.85273         0.86085
SORBI_3001G001400    1    114116    138690      2       2  71913      -1.0814      0.86024         0.85273         0.86085
SORBI_3001G002000    1    160161    169916      1       1  71913      0.38964       0.3484         0.34806         0.34806
SORBI_3001G002050    1    168558    176521      2       2  71913      0.12211      0.45141         0.48935         0.41301
SORBI_3001G002100    1    171605    177832      2       2  71913      0.12211      0.45141         0.48935         0.41301
SORBI_3001G002200    1    183033    206958      2       2  71913     -0.28153      0.61085          0.6407          0.5747
SORBI_3001G002400    1    214906    221523      1       1  71913     -0.41242      0.65999         0.65867         0.65867
SORBI_3001G002500    1    243300    249573      1       1  71913     -0.97977       0.8364          0.8349          0.8349
SORBI_3001G002650    1    254359    260324      1       1  71913     -0.48845      0.68739         0.68621         0.68621
SORBI_3001G002700    1    256383    262238      1       1  71913     -0.48845      0.68739         0.68621         0.68621
SORBI_3001G003100    1    276106    284181      1       1  71913     -0.41802      0.66203         0.66049         0.66049
SORBI_3001G003200    1    280881    287375      1       1  71913     -0.41802      0.66203         0.66049         0.66049
SORBI_3001G003300    1    288474    300496      3       2  71913       1.8009     0.035863        0.021565        0.063697
SORBI_3001G003400    1    296066    301728      3       2  71913       1.8009     0.035863        0.021565        0.063697
SORBI_3001G003500    1    298363    308318      4       3  71913       1.6518     0.049284        0.028881        0.092985
SORBI_3001G003600    1    307245    313054      1       1  71913      0.44913      0.32667         0.32642         0.32642
SORBI_3001G003900    1    332170    340183      2       2  71913       1.5234     0.063835        0.083321        0.050977
SORBI_3001G004100    1    353496    362888      2       2  71913      0.63477      0.26279         0.20258         0.34067
SORBI_3001G004300    1    373343    380198      1       1  71913    -0.083656      0.53333         0.53204         0.53204
SORBI_3001G004400    1    378347    393045      1       1  71913      0.44617      0.32774         0.32743         0.32743
SORBI_3001G005900    1    561262    567110      1       1  71913       1.4571     0.072541        0.072939        0.072939
SORBI_3001G006300    1    574040    579925      1       1  71913     -0.47327      0.68199         0.68009         0.68009
SORBI_3001G006400    1    581778    590934      1       1  71913        1.021      0.15364         0.15396         0.15396
SORBI_3001G006800    1    689687    696091      2       2  71913      0.89722       0.1848         0.21785         0.15748
SORBI_3001G007000    1    703245    713484      1       1  71913       2.3516    0.0093455        0.009498        0.009498
SORBI_3001G007400    1    723425    730412      1       1  71913      0.89344      0.18581         0.18608         0.18608
SORBI_3001G007500    1    726051    733978      2       1  71913      0.54952      0.29132         0.35038         0.24182
SORBI_3001G007600    1    730601    738502      1       1  71913      -1.6052      0.94577         0.94482         0.94482
SORBI_3001G007800    1    737596    748898      2       2  71913    -0.026382      0.51052          0.5459         0.47156
SORBI_3001G008000    1    750109    758388      1       1  71913       1.3102      0.09507         0.09539         0.09539
SORBI_3001G008100    1    755179    761201      2       2  71913      0.84884      0.19799         0.21677         0.18168
SORBI_3001G008200    1    757332    764941      1       1  71913     -0.25352      0.60007         0.59879         0.59879
SORBI_3001G008300    1    764997    774094      2       2  71913      -1.7561      0.96047         0.96687         0.94997
SORBI_3001G008400    1    770342    780931      1       1  71913     -0.89299      0.81407         0.81275         0.81275
SORBI_3001G008800    1    822643    828523      2       2  71913    -0.098636      0.53929         0.52771         0.54482
SORBI_3001G008900    1    827021    832644     12       7  71913      -0.3702      0.64438         0.57248         0.65167
SORBI_3001G009000    1    831474    843001      9       7  71913       -1.787      0.96303         0.94641          0.9509
SORBI_3001G009100    1    839322    849804      1       1  71913     -0.10088      0.54018         0.53923         0.53923
SORBI_3001G009200    1    846269    856834      3       3  71913     -0.36553      0.64264         0.66286         0.60409
SORBI_3001G009300    1    858540    867043      1       1  71913     -0.67121      0.74896         0.74748         0.74748
SORBI_3001G009400    1    863524    870001      1       1  71913     -0.67121      0.74896         0.74748         0.74748
SORBI_3001G009700    1    879235    891724      1       1  71913       1.0389      0.14943         0.14974         0.14974
SORBI_3001G010200    1    915429    926294      8       4  71913      0.66004      0.25461         0.22084          0.2942
SORBI_3001G010300    1    917634    927242      8       4  71913      0.66004      0.25461         0.22084          0.2942
SORBI_3001G010400    1    923774    930058      2       1  71913      0.65118      0.25747         0.25745         0.25745
SORBI_3001G011600    1   1002121   1008547      1       1  71913       1.1189      0.13159           0.132           0.132
SORBI_3001G011700    1   1003669   1012890      1       1  71913       1.1189      0.13159           0.132           0.132
SORBI_3001G011800    1   1013540   1018301      1       1  71913      0.49659      0.30974         0.30955         0.30955
SORBI_3001G012000    1   1029520   1036071      1       1  71913      -1.2721      0.89833         0.89705         0.89705
SORBI_3001G012100    1   1040020   1049090      1       1  71913      -1.8268      0.96614         0.96556         0.96556
