GENE               CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
SORBI_3001G000100    1         0      4616      1       1  69203       1.3926     0.081869        0.082224        0.082224
SORBI_3001G000400    1     20391     44443      2       1  69203      0.51434      0.30351         0.30077         0.30599
SORBI_3001G000700    1     51781     65305      1       1  69203      -1.4502      0.92649         0.92529         0.92529
SORBI_3001G000800    1     60892     71306      3       3  69203      -1.2698      0.89793         0.90842         0.87539
SORBI_3001G000900    1     77159     83636      4       3  69203     -0.25759      0.60164         0.49292         0.70627
SORBI_3001G001000    1     79932     85350      4       3  69203     -0.25759      0.60164         0.49292         0.70627
SORBI_3001G001200    1    107968    114306      1       1  69203     -0.72053       0.7644         0.76308         0.76308
SORBI_3001G001300    1    110766    118048      3       2  69203      -1.2193      0.88863         0.88332         0.88024
SORBI_3001G001400    1    114116    138690      2       2  69203      -1.1063      0.86571          0.8574          0.8658
SORBI_3001G002000    1    160161    169916      1       1  69203      -2.7705       0.9972         0.99708         0.99708
SORBI_3001G002050    1    168558    176521      2       2  69203       -1.083       0.8606          0.8561         0.85549
SORBI_3001G002100    1    171605    177832      2       2  69203       -1.083       0.8606          0.8561         0.85549
SORBI_3001G002200    1    183033    206958      2       2  69203      -1.3209      0.90674           0.919         0.88742
SORBI_3001G002400    1    214906    221523      1       1  69203      -1.6111      0.94642          0.9456          0.9456
SORBI_3001G002500    1    243300    249573      2       2  69203     -0.62754      0.73485         0.75732         0.70496
SORBI_3001G002650    1    254359    260324      1       1  69203      -1.5289      0.93686         0.93602         0.93602
SORBI_3001G002700    1    256383    262238      1       1  69203      -1.5289      0.93686         0.93602         0.93602
SORBI_3001G003100    1    276106    284181      1       1  69203     -0.22313      0.58828          0.5872          0.5872
SORBI_3001G003200    1    280881    287375      1       1  69203     -0.22313      0.58828          0.5872          0.5872
SORBI_3001G003300    1    288474    300496      3       2  69203      -1.1283      0.87041         0.87335         0.85253
SORBI_3001G003400    1    296066    301728      3       2  69203      -1.1283      0.87041         0.87335         0.85253
SORBI_3001G003500    1    298363    308318      4       3  69203      -1.1696      0.87891          0.8801         0.85729
SORBI_3001G003600    1    307245    313054      1       1  69203     -0.48393      0.68578         0.68422         0.68422
SORBI_3001G003900    1    332170    340183      3       3  69203      -1.3256      0.90751         0.91836         0.88259
SORBI_3001G004100    1    353496    362888      2       2  69203      0.52918      0.29834         0.25508         0.34818
SORBI_3001G004300    1    373343    380198      1       1  69203     -0.96355      0.83237         0.83108         0.83108
SORBI_3001G004400    1    378347    393045      1       1  69203       1.0257      0.15251         0.15282         0.15282
SORBI_3001G005900    1    561262    567110      2       2  69203      0.91795      0.17932         0.21283         0.15211
SORBI_3001G006300    1    574040    579925      1       1  69203      -1.1592      0.87682         0.87559         0.87559
SORBI_3001G006400    1    581778    590934      1       1  69203      0.32398      0.37298         0.37257         0.37257
SORBI_3001G006600    1    659532    671834      1       1  69203       1.5884       0.0561        0.056436        0.056436
SORBI_3001G006800    1    689687    696091      4       3  69203     -0.44499      0.67184         0.63505         0.67985
SORBI_3001G007000    1    703245    713484      1       1  69203     -0.11597      0.54616         0.54501         0.54501
SORBI_3001G007400    1    723425    730412      1       1  69203     -0.27271      0.60746         0.60613         0.60613
SORBI_3001G007500    1    726051    733978      2       1  69203     -0.24168      0.59548         0.56835         0.61808
SORBI_3001G007600    1    730601    738502      1       1  69203     -0.03598      0.51435         0.51329         0.51329
SORBI_3001G007800    1    737596    748898      1       1  69203      -1.3481      0.91118         0.90991         0.90991
SORBI_3001G008300    1    764997    774094      4       3  69203     -0.42046      0.66293         0.68033         0.61547
SORBI_3001G008400    1    770342    780931      1       1  69203     -0.67592      0.75045         0.74908         0.74908
SORBI_3001G008800    1    822643    828523      4       2  69203       1.2858     0.099259         0.18594         0.05462
SORBI_3001G008900    1    827021    832644     11       7  69203       0.8287      0.20364         0.32232         0.13325
SORBI_3001G009000    1    831474    843001      8       6  69203       1.2951     0.097636        0.095104         0.11646
SORBI_3001G009100    1    839322    849804      1       1  69203       1.8507     0.032105        0.032415        0.032415
SORBI_3001G009200    1    846269    856834      3       3  69203      -1.2428      0.89303          0.9181         0.85507
SORBI_3001G009300    1    858540    867043      1       1  69203     -0.18412      0.57304         0.57192         0.57192
SORBI_3001G009400    1    863524    870001      1       1  69203     -0.18412      0.57304         0.57192         0.57192
SORBI_3001G009700    1    879235    891724      1       1  69203      -3.0899        0.999         0.99896         0.99896
SORBI_3001G010000    1    905300    911467      1       1  69203      -1.5052      0.93387         0.93292         0.93292
SORBI_3001G010100    1    907734    913888      1       1  69203      -1.5052      0.93387         0.93292         0.93292
SORBI_3001G010200    1    915429    926294      9       5  69203       0.1215      0.45165         0.47945         0.40898
SORBI_3001G010300    1    917634    927242      9       5  69203       0.1215      0.45165         0.47945         0.40898
SORBI_3001G010400    1    923774    930058      2       1  69203     -0.53929      0.70516         0.68688         0.72146
SORBI_3001G010500    1    928875    935769      1       1  69203      0.99127      0.16078         0.16105         0.16105
SORBI_3001G010600    1    932690    940671      1       1  69203      0.99127      0.16078         0.16105         0.16105
SORBI_3001G010700    1    938000    947188      2       1  69203     -0.38581      0.65018         0.64359         0.65412
SORBI_3001G010800    1    946055    952515      2       1  69203     -0.38581      0.65018         0.64359         0.65412
SORBI_3001G011600    1   1002121   1008547      2       2  69203      0.30155       0.3815         0.36942         0.39219
SORBI_3001G011700    1   1003669   1012890      2       2  69203      0.30155       0.3815         0.36942         0.39219
SORBI_3001G011800    1   1013540   1018301      1       1  69203      -1.4517       0.9267          0.9257          0.9257
SORBI_3001G012000    1   1029520   1036071      1       1  69203      -1.3875      0.91736         0.91614         0.91614
SORBI_3001G012100    1   1040020   1049090      1       1  69203      0.25318      0.40006         0.39955         0.39955
SORBI_3001G012200    1   1046825   1052688      1       1  69203       2.1556     0.015559        0.015796        0.015796
SORBI_3001G012600    1   1171739   1178242      5       3  69203      -1.3825      0.91659         0.93142         0.87735
SORBI_3001G012800    1   1201141   1209730      6       3  69203      -0.7747      0.78074         0.88151         0.65686
SORBI_3001G012900    1   1209147   1223198      6       5  69203      0.58603      0.27893         0.18365         0.42011
SORBI_3001G013000    1   1219172   1226186      4       2  69203      0.75555      0.22496         0.22876         0.22405
SORBI_3001G013200    1   1229050   1236117      2       2  69203    -0.045422      0.51811         0.44423         0.59676
SORBI_3001G013300    1   1233446   1241001      1       1  69203      0.65793      0.25529         0.25529         0.25529
SORBI_3001G013400    1   1237115   1245410      1       1  69203      0.65793      0.25529         0.25529         0.25529
SORBI_3001G014100    1   1271048   1281860     12       7  69203     -0.26138       0.6031         0.56917         0.60993
SORBI_3001G014300    1   1297764   1307513      2       2  69203    -0.018058       0.5072         0.54271         0.46932
SORBI_3001G014800    1   1323521   1331282      2       2  69203      -0.7234      0.76528         0.78484         0.73631
SORBI_3001G014900    1   1329078   1342579      3       3  69203      -1.1893      0.88283         0.90462         0.84303
SORBI_3001G015000    1   1339705   1347061      2       2  69203     -0.81347      0.79203         0.79564         0.77699
SORBI_3001G015100    1   1344247   1350023      4       3  69203      -1.2543      0.89513         0.90107         0.86656
SORBI_3001G015200    1   1346406   1354435      3       2  69203      -1.2544      0.89515         0.89309         0.88179
SORBI_3001G015400    1   1352962   1371982      5       4  69203      0.83614      0.20154         0.17468         0.23796
SORBI_3001G015800    1   1385666   1393790      1       1  69203     -0.33883      0.63263         0.63155         0.63155
SORBI_3001G016201    1   1409835   1420917      2       2  69203     -0.45859      0.67673         0.70421         0.64102
SORBI_3001G016300    1   1417645   1424725      2       2  69203     -0.45859      0.67673         0.70421         0.64102
SORBI_3001G016400    1   1426305   1433270      3       2  69203      0.85512      0.19624         0.19484         0.19929
SORBI_3001G016500    1   1430980   1437566      3       2  69203      0.85512      0.19624         0.19484         0.19929
SORBI_3001G016700    1   1439609   1451144      4       3  69203      0.67927      0.24848         0.20429         0.30263
SORBI_3001G016800    1   1448134   1454644      2       2  69203      0.83998      0.20046          0.2511         0.16043
SORBI_3001G017000    1   1471135   1476616      1       1  69203      0.25942      0.39766         0.39714         0.39714
SORBI_3001G017100    1   1475012   1481956      1       1  69203      0.25942      0.39766         0.39714         0.39714
SORBI_3001G017200    1   1478415   1487939      2       1  69203      -0.8486      0.80195         0.81671         0.78434
SORBI_3001G017300    1   1484492   1493239      4       2  69203     -0.52314      0.69956         0.69448         0.69835
SORBI_3001G017400    1   1491296   1496703      2       1  69203     -0.22058      0.58729         0.56895         0.60286
SORBI_3001G017600    1   1495655   1505070      5       3  69203     -0.87572      0.80941         0.84609         0.74994
SORBI_3001G017700    1   1501221   1513448      6       4  69203      -1.2223      0.88921         0.92074         0.83256
SORBI_3001G017800    1   1509792   1517241      1       1  69203      -1.4272      0.92324         0.92234         0.92234
