GENE               CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
SORBI_3001G000100    1      1951      2616      1       1  72163       2.7867    0.0026628        0.002724        0.002724
SORBI_3001G000800    1     62892     69306      2       2  72163     0.077332      0.46918         0.42431         0.51283
SORBI_3001G000900    1     79159     81636      4       3  72163      0.83896      0.20075          0.1774         0.22991
SORBI_3001G001200    1    109968    112306      1       1  72163       1.1217      0.13098         0.13136         0.13136
SORBI_3001G001300    1    112766    116048      2       2  72163     -0.15434      0.56133         0.58849         0.53024
SORBI_3001G002000    1    162161    167916      1       1  72163     -0.72363      0.76535         0.76399         0.76399
SORBI_3001G002100    1    173605    175832      1       1  72163      -0.2359      0.59324         0.59159         0.59159
SORBI_3001G002400    1    216906    219523      1       1  72163       -1.777      0.96221         0.96161         0.96161
SORBI_3001G002700    1    258383    260238      1       1  72163      0.62094      0.26732         0.26727         0.26727
SORBI_3001G003400    1    298066    299728      3       2  72163     -0.14077      0.55597         0.56299         0.53983
SORBI_3001G003500    1    300363    306318      1       1  72163     0.088507      0.46474         0.46383         0.46383
SORBI_3001G003600    1    309245    311054      1       1  72163     0.078974      0.46853         0.46757         0.46757
SORBI_3001G003900    1    334170    338183      2       2  72163      0.28186      0.38903         0.42922          0.3499
SORBI_3001G004100    1    355496    360888      2       2  72163      -1.6186      0.94723         0.95441         0.93593
SORBI_3001G004400    1    380347    391045      1       1  72163      0.38662      0.34952         0.34922         0.34922
SORBI_3001G006300    1    576040    577925      1       1  72163     -0.43591      0.66855         0.66724         0.66724
SORBI_3001G006400    1    583778    588934      1       1  72163      -1.2268      0.89005         0.88845         0.88845
SORBI_3001G006800    1    691687    694091      4       3  72163      -0.8848      0.81187         0.75019          0.8506
SORBI_3001G007000    1    705245    711484      1       1  72163     -0.25207      0.59951         0.59804         0.59804
SORBI_3001G007500    1    728051    731978      1       1  72163       2.3752    0.0087703       0.0089082       0.0089082
SORBI_3001G007800    1    739596    746898      1       1  72163      -2.2929      0.98907         0.98878         0.98878
SORBI_3001G008200    1    759332    762941      1       1  72163     -0.60787      0.72836         0.72687         0.72687
SORBI_3001G008300    1    766997    772094      2       2  72163     -0.94836      0.82853         0.83885         0.81199
SORBI_3001G008800    1    824643    826523      2       1  72163       -1.989      0.97665          0.9875         0.96454
SORBI_3001G009000    1    833474    841001      2       2  72163      0.64059       0.2609         0.28868         0.23568
SORBI_3001G009200    1    848269    854834      3       3  72163      -0.4653      0.67914         0.65804         0.68896
SORBI_3001G009300    1    860540    865043      1       1  72163      -1.7566      0.96051         0.95979         0.95979
SORBI_3001G009700    1    881235    889724      1       1  72163      0.82764      0.20394         0.20409         0.20409
SORBI_3001G010200    1    917429    924294      6       4  72163      0.40493      0.34276         0.29561         0.39044
