GENE               CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
SORBI_3001G000100    1      1951      2616      1       1  73614       1.0649      0.14346         0.14376         0.14376
SORBI_3001G000800    1     62892     69306      2       2  73614     -0.16357      0.56496         0.59554         0.53094
SORBI_3001G000900    1     79159     81636      4       3  73614      -0.7589      0.77604         0.76817         0.76254
SORBI_3001G001200    1    109968    112306      1       1  73614      -0.1869      0.57413         0.57295         0.57295
SORBI_3001G001300    1    112766    116048      2       2  73614      -1.0363      0.84997         0.84923         0.84209
SORBI_3001G002000    1    162161    167916      2       2  73614     -0.89165      0.81371         0.82714         0.79247
SORBI_3001G002100    1    173605    175832      1       1  73614       -1.167      0.87839         0.87704         0.87704
SORBI_3001G002400    1    216906    219523      1       1  73614      0.66187      0.25403         0.25403         0.25403
SORBI_3001G002700    1    258383    260238      1       1  73614     -0.58557      0.72092         0.71951         0.71951
SORBI_3001G003400    1    298066    299728      3       2  73614      -2.1253      0.98322         0.98766         0.97469
SORBI_3001G003500    1    300363    306318      2       2  73614      0.36929      0.35595         0.39417          0.3199
SORBI_3001G003600    1    309245    311054      3       2  73614     -0.94959      0.82884          0.8147         0.83376
SORBI_3001G003900    1    334170    338183      3       3  73614      0.59649      0.27542         0.30558         0.24754
SORBI_3001G004100    1    355496    360888      3       3  73614       -2.575      0.99499          0.9947         0.99336
SORBI_3001G004400    1    380347    391045      1       1  73614      -2.4688      0.99322           0.993           0.993
SORBI_3001G005100    1    415997    419707      1       1  73614     -0.17829      0.57075         0.56961         0.56961
SORBI_3001G006300    1    576040    577925      1       1  73614     -0.62232      0.73314         0.73134         0.73134
SORBI_3001G006400    1    583778    588934      1       1  73614    -0.098621      0.53928         0.53803         0.53803
SORBI_3001G006600    1    661532    669834      1       1  73614      -1.0123      0.84431         0.84277         0.84277
SORBI_3001G006800    1    691687    694091      4       3  73614      0.31262      0.37729         0.32114         0.43092
SORBI_3001G007000    1    705245    711484      1       1  73614       1.3677     0.085701          0.0861          0.0861
SORBI_3001G007500    1    728051    731978      1       1  73614      0.71706      0.23667         0.23673         0.23673
SORBI_3001G007800    1    739596    746898      3       3  73614      0.14155      0.44372         0.47388         0.41045
SORBI_3001G008200    1    759332    762941      1       1  73614     -0.45214      0.67442         0.67318         0.67318
SORBI_3001G008300    1    766997    772094      4       3  73614       1.2581      0.10417        0.076822         0.15073
SORBI_3001G008800    1    824643    826523      2       1  73614      0.70184      0.24139         0.26149         0.22292
SORBI_3001G009000    1    833474    841001      2       2  73614     -0.78915      0.78499         0.80071         0.76056
SORBI_3001G009200    1    848269    854834      3       3  73614      0.80315      0.21094         0.23825         0.18832
SORBI_3001G009300    1    860540    865043      2       2  73614     -0.59425      0.72383         0.67597         0.76684
SORBI_3001G009700    1    881235    889724      1       1  73614      0.18176      0.42789         0.42723         0.42723
SORBI_3001G010100    1    909734    911888      1       1  73614      0.43839      0.33055         0.33028         0.33028
SORBI_3001G010200    1    917429    924294      8       5  73614      -1.5459      0.93893         0.94382         0.91727
SORBI_3001G010300    1    919634    925242      7       5  73614      -1.4816      0.93077         0.93008          0.9135
SORBI_3001G010600    1    934690    938671      1       1  73614      0.29603       0.3836         0.38317         0.38317
SORBI_3001G011600    1   1004121   1006547      2       2  73614      0.57532      0.28254         0.30998         0.25716
SORBI_3001G011800    1   1015540   1016301      1       1  73614     -0.51621      0.69715         0.69556         0.69556
SORBI_3001G012000    1   1031520   1034071      1       1  73614     -0.67224      0.74928         0.74778         0.74778
SORBI_3001G012100    1   1042020   1047090      1       1  73614      0.15111      0.43994         0.43921         0.43921
SORBI_3001G012800    1   1203141   1207730      7       3  73614      -1.2623      0.89657         0.86973         0.87734
