GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
Zm00001eb000310    1    1201797    1210068      1       1  98261       1.4015     0.080533        0.080855        0.080855
Zm00001eb000640    1    2737442    2740118      1       1  98261       6.0526   7.1252e-10      7.9413e-10      7.9413e-10
Zm00001eb000670    1    2800774    2803236      2       2  98261       2.6039    0.0046091       0.0064914       0.0036907
Zm00001eb000720    1    2869576    2874482      7       3  98261       2.4109    0.0079563         0.13147       0.0011795
Zm00001eb000740    1    2874505    2883698      1       1  98261     -0.23042      0.59112         0.59003         0.59003
Zm00001eb000750    1    2875398    2880118      1       1  98261     -0.23042      0.59112         0.59003         0.59003
Zm00001eb000780    1    2950594    2963259      3       3  98261       2.1535     0.015641        0.035184       0.0079876
Zm00001eb000810    1    2991876    3014032      6       3  98261       4.0098   3.0386e-05      0.00011801      3.9202e-05
Zm00001eb000830    1    3028126    3030012      3       3  98261       4.6493   1.6656e-06      1.6545e-07      3.3399e-05
Zm00001eb000920    1    3263012    3279756      1       1  98261      0.28906      0.38627         0.38585         0.38585
Zm00001eb000960    1    3359130    3361295      1       1  98261       4.0573   2.4819e-05      2.5986e-05      2.5986e-05
Zm00001eb000970    1    3362236    3365818      1       1  98261     -0.13245      0.55269         0.55144         0.55144
Zm00001eb001040    1    3473728    3478290      4       3  98261       1.7546     0.039667        0.019765        0.089659
Zm00001eb001110    1    3642003    3652191      8       7  98261       3.8243   6.5563e-05      8.2002e-06       0.0019975
Zm00001eb001120    1    3732742    3735652      1       1  98261     -0.24049      0.59502         0.59378         0.59378
Zm00001eb001430    1    4173806    4249156     11       7  98261       3.6418   0.00013539      6.8049e-05       0.0013514
Zm00001eb001480    1    4358163    4359539      2       1  98261       2.5193    0.0058791       0.0071192       0.0050615
Zm00001eb001510    1    4447853    4452527      3       3  98261       1.9209     0.027374        0.015608        0.054111
Zm00001eb001690    1    5055289    5057805      3       3  98261      0.93636      0.17454         0.21171         0.14724
Zm00001eb001870    1    5434423    5440930      1       1  98261       1.3194     0.093515        0.093835        0.093835
Zm00001eb002000    1    5743584    5766324     13      11  98261       5.8744   2.1217e-09      1.0701e-10      2.9812e-06
Zm00001eb002100    1    6021571    6114922     14      12  98261       2.5342    0.0056345         0.02686       0.0033611
Zm00001eb002170    1    6200061    6204667      7       6  98261      0.16181      0.43573         0.45631         0.40056
Zm00001eb002180    1    6223600    6228409      1       1  98261       2.1641     0.015227        0.015463        0.015463
Zm00001eb002430    1    6782672    6793725      2       2  98261       1.9338     0.026568        0.014972        0.050987
Zm00001eb002540    1    7181045    7201561      4       3  98261        4.945   3.8077e-07      3.9702e-05      1.1391e-08
Zm00001eb002590    1    7298972    7300989      3       3  98261       3.4894    0.0002421      0.00034062      0.00027415
Zm00001eb002610    1    7337514    7342201      4       2  98261     -0.51365      0.69625         0.71616          0.6503
Zm00001eb002620    1    7344153    7348877      2       2  98261       3.2037    0.0006784      0.00021624       0.0025348
Zm00001eb002640    1    7399951    7402416      6       5  98261      0.69284       0.2442          0.1395         0.43053
Zm00001eb002830    1    7953030    7955203      2       2  98261        2.697    0.0034979        0.001154        0.012148
Zm00001eb002880    1    7995660    8000444      9       7  98261        7.574   1.8098e-14      3.4123e-13      4.0578e-13
Zm00001eb002890    1    8030978    8031633      1       1  98261       4.2227   1.2072e-05      1.2742e-05      1.2742e-05
Zm00001eb003040    1    8268532    8271928      1       1  98261       2.5707    0.0050753       0.0051874       0.0051874
Zm00001eb003050    1    8271065    8271757      1       1  98261       2.5707    0.0050753       0.0051874       0.0051874
Zm00001eb003060    1    8274777    8292607      6       5  98261       3.5866   0.00016749      0.00084452      6.5304e-05
Zm00001eb003160    1    8514570    8518418      1       1  98261       1.1072      0.13411         0.13437         0.13437
Zm00001eb003220    1    8636709    8638722      7       6  98261       3.8715   5.4076e-05      1.0574e-05       0.0010527
Zm00001eb003230    1    8636709    8642534      8       7  98261        3.782   7.7798e-05      1.4757e-05       0.0014871
Zm00001eb003350    1    8944150    8949254      4       3  98261      0.64591      0.25917         0.21244           0.316
Zm00001eb003460    1    9164434    9168992      1       1  98261       2.0475     0.020306        0.020502        0.020502
Zm00001eb003540    1    9423681    9428283      1       1  98261      0.63161      0.26382         0.26378         0.26378
Zm00001eb003550    1    9483547    9565925      8       4  98261       2.3061     0.010551        0.026381       0.0051702
Zm00001eb003670    1    9922122    9932704      1       1  98261       3.6718   0.00012043      0.00012542      0.00012542
Zm00001eb003810    1   10427630   10507897      5       4  98261      0.92607       0.1772         0.20809         0.15454
Zm00001eb003880    1   10679227   10681893      1       1  98261       3.4882   0.00024314      0.00025354      0.00025354
Zm00001eb004170    1   11486189   11491069      3       3  98261       2.3738     0.008804       0.0037836        0.025105
Zm00001eb004250    1   11847885   11880702      2       2  98261       2.4682    0.0067905       0.0078313       0.0064943
Zm00001eb004260    1   11938116   11939457      1       1  98261     -0.72798      0.76669          0.7651          0.7651
Zm00001eb004290    1   11999339   12034402      2       2  98261     -0.14325      0.55695          0.5938         0.51569
Zm00001eb004360    1   12181024   12182613      1       1  98261       1.5974     0.055086        0.055516        0.055516
Zm00001eb004420    1   12250196   12255463      1       1  98261      0.59495      0.27594         0.27585         0.27585
Zm00001eb004470    1   12338113   12339599      1       1  98261       3.7052   0.00010561      0.00010975      0.00010975
Zm00001eb004490    1   12343656   12345162      2       2  98261       2.9396    0.0016431       0.0026345       0.0011683
Zm00001eb004540    1   12434130   12438763      4       2  98261       1.5822     0.056797        0.053245        0.066053
Zm00001eb004560    1   12516663   12520623      6       5  98261       9.4518   1.6647e-21      8.8818e-16      8.4969e-24
Zm00001eb004760    1   13031568   13034810      3       2  98261        2.288     0.011069        0.045647       0.0031419
Zm00001eb004940    1   13470997   13486090      1       1  98261       1.9775     0.023993        0.024196        0.024196
Zm00001eb005030    1   13799902   13806468      2       2  98261       1.9546     0.025318        0.041756        0.016521
Zm00001eb005100    1   14102501   14104598      4       3  98261       2.1527      0.01567        0.027804        0.011257
Zm00001eb005210    1   14480449   14500094      1       1  98261       9.3497   4.3961e-21      6.2396e-21      6.2396e-21
Zm00001eb005430    1   15070098   15073238      1       1  98261       1.6022     0.054555        0.054901        0.054901
Zm00001eb005670    1   15906138   15912356      4       3  98261       7.8901   1.5102e-15      7.6106e-13      8.3125e-17
Zm00001eb005710    1   16122256   16129623      5       4  98261       3.0054    0.0013262       0.0044534      0.00066191
Zm00001eb005770    1   16331561   16342289      2       2  98261       7.8622   1.8875e-15           5e-10      2.3988e-20
Zm00001eb005820    1   16601750   16617586      5       4  98261       9.5467   6.6961e-22      1.6546e-10      4.3825e-31
Zm00001eb006030    1   17085942   17087938      3       3  98261       3.0803     0.001034      0.00014415         0.01007
Zm00001eb006170    1   17699837   17701555      2       2  98261       1.4995     0.066876        0.094427        0.049047
Zm00001eb006190    1   17722814   17726372      1       1  98261       3.1908   0.00070937      0.00073084      0.00073084
Zm00001eb006270    1   17840879   17856767      1       1  98261        5.219   8.9933e-08      9.7673e-08      9.7673e-08
Zm00001eb006480    1   18176191   18197270      5       3  98261       5.1005   1.6938e-07      3.8232e-07      4.0544e-07
Zm00001eb006560    1   18473259   18494112      1       1  98261      0.70967      0.23896           0.239           0.239
Zm00001eb006570    1   18635648   18647229      2       2  98261      -1.6474      0.95026         0.95103          0.9447
Zm00001eb006790    1   19640698   19641252      3       3  98261      0.82488      0.20472         0.21889         0.19336
Zm00001eb006800    1   19641289   19643468      2       2  98261     -0.25167      0.59935         0.63878          0.5558
Zm00001eb006860    1   19814662   19818158      2       2  98261      0.96542      0.16717         0.20185         0.13991
Zm00001eb006890    1   19954509   19980165     13      11  98261       7.1437   4.5425e-13      1.3212e-14       5.841e-08
Zm00001eb006920    1   20111600   20117637      2       2  98261       4.2808   9.3097e-06      1.7434e-05      7.2441e-06
Zm00001eb007080    1   20696669   20701774      3       3  98261       4.7259   1.1454e-06      3.8687e-07      7.0103e-06
Zm00001eb007230    1   21541063   21543518      1       1  98261        3.664   0.00012414      0.00012934      0.00012934
Zm00001eb007310    1   21693058   21711680      9       7  98261       8.1286   2.1711e-16      2.9421e-15      8.9909e-15
Zm00001eb007330    1   21756736   21760748      4       3  98261       1.6908     0.045441         0.09913        0.023414
Zm00001eb007580    1   22258455   22262373      5       4  98261       6.2108   2.6352e-10      1.2558e-11      7.0439e-08
