GENE               CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
SORBI_3001G000100    1         0      4616      1       1  71870     -0.91772      0.82062         0.81877         0.81877
SORBI_3001G000400    1     20391     44443      2       1  71870    -0.073419      0.52926         0.52808         0.52808
SORBI_3001G000700    1     51781     65305      1       1  71870     -0.82108       0.7942         0.79262         0.79262
SORBI_3001G000800    1     60892     71306      2       2  71870      0.30416       0.3805         0.41326         0.34806
SORBI_3001G000900    1     77159     83636      4       3  71870        1.219      0.11142         0.19057        0.068539
SORBI_3001G001000    1     79932     85350      4       3  71870        1.219      0.11142         0.19057        0.068539
SORBI_3001G001200    1    107968    114306      1       1  71870     -0.63377      0.73688         0.73537         0.73537
SORBI_3001G001300    1    110766    118048      3       2  71870      -0.7273      0.76648         0.77335         0.73823
SORBI_3001G001400    1    114116    138690      2       2  71870     -0.55639      0.71103         0.71887         0.69179
SORBI_3001G002000    1    160161    169916      1       1  71870     -0.59758      0.72494         0.72334         0.72334
SORBI_3001G002050    1    168558    176521      2       2  71870     -0.04011        0.516         0.45546         0.57748
SORBI_3001G002100    1    171605    177832      2       2  71870     -0.04011        0.516         0.45546         0.57748
SORBI_3001G002200    1    183033    206958      2       2  71870      -1.2432      0.89311         0.90449         0.87464
SORBI_3001G002400    1    214906    221523      1       1  71870      0.59838      0.27479         0.27472         0.27472
SORBI_3001G002500    1    243300    249573      3       3  71870       1.8428     0.032681        0.023154        0.050885
SORBI_3001G002650    1    254359    260324      1       1  71870      0.51759      0.30237         0.30218         0.30218
SORBI_3001G002700    1    256383    262238      1       1  71870      0.51759      0.30237         0.30218         0.30218
SORBI_3001G003100    1    276106    284181      1       1  71870       1.3607     0.086806        0.087189        0.087189
SORBI_3001G003200    1    280881    287375      1       1  71870       1.3607     0.086806        0.087189        0.087189
SORBI_3001G003300    1    288474    300496      3       2  71870     -0.93429      0.82492         0.84789         0.79008
SORBI_3001G003400    1    296066    301728      3       2  71870     -0.93429      0.82492         0.84789         0.79008
SORBI_3001G003500    1    298363    308318      4       3  71870      -1.4885      0.93169         0.94875         0.89072
SORBI_3001G003600    1    307245    313054      1       1  71870     -0.45796      0.67651         0.67512         0.67512
SORBI_3001G003900    1    332170    340183      2       2  71870       1.1618      0.12265         0.14276         0.10698
SORBI_3001G004100    1    353496    362888      2       2  71870      0.84374      0.19941         0.23435         0.17061
SORBI_3001G004300    1    373343    380198      1       1  71870       1.7564      0.03951        0.039807        0.039807
SORBI_3001G004400    1    378347    393045      1       1  71870      0.21496       0.4149         0.41422         0.41422
SORBI_3001G005900    1    561262    567110      2       2  71870     -0.32112      0.62594         0.65435          0.5934
SORBI_3001G006300    1    574040    579925      1       1  71870       1.2037      0.11435         0.11474         0.11474
SORBI_3001G006400    1    581778    590934      1       1  71870      -1.2821      0.90009         0.89889         0.89889
SORBI_3001G006800    1    689687    696091      4       3  71870     0.046399       0.4815         0.43123          0.5196
