GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
Zm00001eb000310    1    1201797    1210068      1       1  98620      -1.2509      0.89451         0.89296         0.89296
Zm00001eb000640    1    2737442    2740118      1       1  98620        1.112      0.13307         0.13337         0.13337
Zm00001eb000670    1    2800774    2803236      2       2  98620       2.6994    0.0034736       0.0090281       0.0015227
Zm00001eb000720    1    2869576    2874482      7       3  98620      -1.9583       0.9749         0.97019         0.95672
Zm00001eb000740    1    2874505    2883698      1       1  98620     -0.23057      0.59118         0.58972         0.58972
Zm00001eb000750    1    2875398    2880118      1       1  98620     -0.23057      0.59118         0.58972         0.58972
Zm00001eb000780    1    2950594    2963259      3       3  98620     -0.92834      0.82338         0.84781         0.77945
Zm00001eb000810    1    2991876    3014032      6       3  98620       3.5691   0.00017911      0.00016654      0.00058776
Zm00001eb000830    1    3028126    3030012      3       3  98620       2.2061     0.013687       0.0061671         0.03661
Zm00001eb000920    1    3263012    3279756      1       1  98620    -0.012164      0.50485         0.50408         0.50408
Zm00001eb000960    1    3359130    3361295      1       1  98620       4.2829   9.2217e-06      9.7237e-06      9.7237e-06
Zm00001eb000970    1    3362236    3365818      1       1  98620      0.71877      0.23614          0.2362          0.2362
Zm00001eb001040    1    3473728    3478290      4       3  98620      0.68918      0.24535         0.19673         0.30704
Zm00001eb001110    1    3642003    3652191      8       7  98620        1.702     0.044382        0.015508         0.16336
Zm00001eb001120    1    3732742    3735652      1       1  98620       1.7893     0.036786        0.037118        0.037118
Zm00001eb001430    1    4173806    4249156     11       7  98620        2.819    0.0024089       0.0031997       0.0043984
Zm00001eb001480    1    4358163    4359539      2       1  98620      -1.4036      0.91977         0.92979         0.90794
Zm00001eb001510    1    4447853    4452527      3       3  98620      0.63971      0.26118         0.31609         0.21563
Zm00001eb001690    1    5055289    5057805      3       3  98620       1.3373     0.090562         0.14237         0.06061
Zm00001eb001870    1    5434423    5440930      1       1  98620      -1.4502       0.9265         0.92558         0.92558
Zm00001eb002000    1    5743584    5766324     13      11  98620       3.7715    8.112e-05       0.0001123      0.00044247
Zm00001eb002100    1    6021571    6114922     14      12  98620     -0.24956      0.59854         0.50075         0.63917
Zm00001eb002170    1    6200061    6204667      7       6  98620      0.97009        0.166         0.14451         0.19958
Zm00001eb002180    1    6223600    6228409      1       1  98620     -0.17494      0.56944         0.56823         0.56823
