GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
Zm00001eb000310    1    1201797    1210068      1       1  97690       1.1703      0.12095         0.12126         0.12126
Zm00001eb000640    1    2737442    2740118      1       1  97690     -0.91365      0.81955         0.81797         0.81797
Zm00001eb000670    1    2800774    2803236      2       2  97690     -0.32084      0.62583         0.64687         0.59954
Zm00001eb000720    1    2869576    2874482      7       3  97690      0.66481      0.25308         0.15702         0.40973
Zm00001eb000740    1    2874505    2883698      1       1  97690       0.4261      0.33502         0.33476         0.33476
Zm00001eb000750    1    2875398    2880118      1       1  97690       0.4261      0.33502         0.33476         0.33476
Zm00001eb000780    1    2950594    2963259      3       3  97690      0.85479      0.19633         0.16859         0.23187
Zm00001eb000810    1    2991876    3014032      6       3  97690      -2.2492      0.98775         0.98084         0.97899
Zm00001eb000830    1    3028126    3030012      3       3  97690       1.5318     0.062787         0.03796         0.11182
Zm00001eb000920    1    3263012    3279756      1       1  97690     -0.50246      0.69233         0.69102         0.69102
Zm00001eb000960    1    3359130    3361295      1       1  97690      0.82523      0.20462         0.20478         0.20478
Zm00001eb000970    1    3362236    3365818      1       1  97690     -0.76312       0.7773         0.77584         0.77584
Zm00001eb001040    1    3473728    3478290      4       3  97690      0.21407      0.41525         0.38554         0.43786
Zm00001eb001110    1    3642003    3652191      8       7  97690     0.094984      0.46216         0.48001         0.42427
Zm00001eb001120    1    3732742    3735652      1       1  97690       1.7539     0.039726         0.03998         0.03998
Zm00001eb001430    1    4173806    4249156     11       7  97690      0.27508      0.39163         0.40227         0.36447
Zm00001eb001480    1    4358163    4359539      2       1  97690     -0.15053      0.55983         0.52969         0.58949
Zm00001eb001510    1    4447853    4452527      3       3  97690       3.7691   8.1919e-05      2.2197e-05      0.00046375
Zm00001eb001690    1    5055289    5057805      3       3  97690      0.98884      0.16137         0.14747         0.17976
Zm00001eb001870    1    5434423    5440930      1       1  97690        1.262      0.10348          0.1038          0.1038
Zm00001eb002000    1    5743584    5766324     13      11  97690      0.72033      0.23566         0.26433         0.21378
Zm00001eb002100    1    6021571    6114922     14      12  97690     0.089617       0.4643          0.3413         0.58225
Zm00001eb002170    1    6200061    6204667      7       6  97690     -0.98988      0.83888         0.78079         0.86247
Zm00001eb002180    1    6223600    6228409      1       1  97690     -0.84921      0.80212         0.80069         0.80069
Zm00001eb002430    1    6782672    6793725      2       2  97690     -0.45155       0.6742         0.68964         0.65063
Zm00001eb002540    1    7181045    7201561      4       3  97690      0.74664      0.22764         0.33457         0.15608
Zm00001eb002590    1    7298972    7300989      3       3  97690       4.1335   1.7867e-05       4.956e-06      0.00010962
Zm00001eb002610    1    7337514    7342201      4       2  97690      0.46834      0.31977         0.27719         0.36193
Zm00001eb002620    1    7344153    7348877      2       2  97690       1.9451     0.025882        0.041498        0.016893
Zm00001eb002640    1    7399951    7402416      6       5  97690      -2.0348      0.97906         0.98411         0.95993
Zm00001eb002830    1    7953030    7955203      2       2  97690       1.5613     0.059231        0.055501        0.065718
Zm00001eb002880    1    7995660    8000444      9       7  97690       1.1041      0.13477         0.09782         0.19934
Zm00001eb002890    1    8030978    8031633      1       1  97690     -0.45932        0.677         0.67578         0.67578
Zm00001eb003040    1    8268532    8271928      1       1  97690       1.7992     0.035995        0.036313        0.036313
Zm00001eb003050    1    8271065    8271757      1       1  97690       1.7992     0.035995        0.036313        0.036313
Zm00001eb003060    1    8274777    8292607      6       5  97690       0.8254      0.20457         0.27734         0.15417
Zm00001eb003160    1    8514570    8518418      1       1  97690       1.3782     0.084075        0.084405        0.084405
Zm00001eb003220    1    8636709    8638722      7       6  97690       1.8297     0.033648        0.047736        0.032142
Zm00001eb003230    1    8636709    8642534      8       7  97690       1.7201     0.042709        0.058588         0.04024
Zm00001eb003350    1    8944150    8949254      4       3  97690      0.51819      0.30216         0.20329         0.44442
Zm00001eb003460    1    9164434    9168992      1       1  97690       1.0482      0.14727         0.14756         0.14756
Zm00001eb003540    1    9423681    9428283      1       1  97690    -0.049417      0.51971         0.51873         0.51873
Zm00001eb003550    1    9483547    9565925      8       4  97690       1.3358     0.090801        0.063053         0.14215
Zm00001eb003670    1    9922122    9932704      1       1  97690      0.95117      0.17076         0.17104         0.17104
Zm00001eb003810    1   10427630   10507897      5       4  97690       2.3593    0.0091556        0.018792       0.0058605
Zm00001eb003880    1   10679227   10681893      1       1  97690       1.2429      0.10695         0.10734         0.10734
Zm00001eb004170    1   11486189   11491069      3       3  97690       1.2985     0.097059         0.15049        0.065975
Zm00001eb004250    1   11847885   11880702      2       2  97690     -0.33348      0.63061         0.66071         0.59446
Zm00001eb004260    1   11938116   11939457      1       1  97690      -0.1145      0.54558         0.54449         0.54449
Zm00001eb004290    1   11999339   12034402      2       2  97690      0.55589      0.28914         0.32194         0.25898
Zm00001eb004360    1   12181024   12182613      1       1  97690      0.61066      0.27071         0.27065         0.27065
Zm00001eb004420    1   12250196   12255463      1       1  97690    -0.016228      0.50647         0.50554         0.50554
Zm00001eb004470    1   12338113   12339599      1       1  97690       1.2801      0.10025         0.10067         0.10067
Zm00001eb004490    1   12343656   12345162      2       2  97690       1.9339     0.026563         0.02419        0.030593
Zm00001eb004540    1   12434130   12438763      4       2  97690    -0.020851      0.50832         0.47966          0.5172
Zm00001eb004560    1   12516663   12520623      6       5  97690       3.3007   0.00048214      0.00010812       0.0053783
Zm00001eb004760    1   13031568   13034810      3       2  97690      0.86445      0.19367         0.16262          0.2326
Zm00001eb004940    1   13470997   13486090      1       1  97690      -1.3332      0.90877         0.90759         0.90759
Zm00001eb005030    1   13799902   13806468      2       2  97690     -0.15257      0.56063         0.55937         0.55172
Zm00001eb005100    1   14102501   14104598      4       3  97690      -0.7797      0.78222         0.77604          0.7612
Zm00001eb005210    1   14480449   14500094      1       1  97690       1.1767      0.11966         0.12004         0.12004
Zm00001eb005430    1   15070098   15073238      1       1  97690      -1.6526      0.95079         0.94996         0.94996
Zm00001eb005670    1   15906138   15912356      3       3  97690      0.42263      0.33628         0.32559         0.34309
Zm00001eb005710    1   16122256   16129623      5       4  97690       1.1383       0.1275         0.17754        0.096981
Zm00001eb005770    1   16331561   16342289      2       2  97690       1.4016     0.080514        0.069552        0.096594
Zm00001eb005820    1   16601750   16617586      5       4  97690     -0.23743      0.59384         0.57185         0.58678
Zm00001eb006030    1   17085942   17087938      3       3  97690         1.41     0.079263         0.10835        0.062486
Zm00001eb006170    1   17699837   17701555      2       2  97690      0.33548      0.36863         0.38645         0.34938
Zm00001eb006190    1   17722814   17726372      1       1  97690       2.0139     0.022008        0.022256        0.022256
Zm00001eb006270    1   17840879   17856767      1       1  97690     -0.63881      0.73853         0.73706         0.73706
Zm00001eb006480    1   18176191   18197270      5       3  97690      0.67376      0.25023         0.22813         0.27519
Zm00001eb006570    1   18635648   18647229      2       2  97690    -0.016146      0.50644         0.54029         0.46798
Zm00001eb006790    1   19640698   19641252      3       3  97690       1.8645     0.031128        0.034623        0.031375
Zm00001eb006800    1   19641289   19643468      2       2  97690       2.5431    0.0054933       0.0044715       0.0073219
Zm00001eb006860    1   19814662   19818158      2       2  97690       1.4722     0.070483        0.064395        0.080886
Zm00001eb006890    1   19954509   19980165     12      10  97690       3.3731   0.00037159      7.8634e-05       0.0083334
Zm00001eb006920    1   20111600   20117637      2       2  97690       3.8528    5.839e-05      1.5685e-05         0.00029
Zm00001eb007080    1   20696669   20701774      3       3  97690       1.2475      0.10611         0.13567        0.086878
Zm00001eb007230    1   21541063   21543518      1       1  97690     -0.47012      0.68087         0.67946         0.67946
Zm00001eb007310    1   21693058   21711680      9       7  97690       2.5747    0.0050158       0.0022924        0.022185
Zm00001eb007330    1   21756736   21760748      4       3  97690      0.47783      0.31639         0.26932         0.36761
Zm00001eb007580    1   22258455   22262373      4       3  97690      0.62075      0.26738         0.29306         0.24326
Zm00001eb007600    1   22435069   22442054      6       4  97690       2.1021     0.017772          0.1013       0.0047254
Zm00001eb007820    1   23050901   23058463      6       4  97690       3.3089    0.0004683      0.00063676      0.00081142
Zm00001eb008180    1   24745257   24749932      1       1  97690       2.4888    0.0064087       0.0065485       0.0065485
Zm00001eb008190    1   24778316   24778939      1       1  97690      0.68507      0.24665         0.24668         0.24668
Zm00001eb008280    1   24937424   24942705      6       3  97690      0.30153       0.3815         0.41345          0.3448
Zm00001eb008360    1   25396585   25400926      2       2  97690       0.7692      0.22089         0.24634         0.19866
Zm00001eb008620    1   26192565   26198909      1       1  97690    -0.048439      0.51932         0.51834         0.51834
Zm00001eb008850    1   27166296   27172398      1       1  97690       1.5364     0.062217        0.062653        0.062653
Zm00001eb008870    1   27173864   27174818      1       1  97690       1.7979     0.036099        0.036418        0.036418
Zm00001eb009000    1   27796339   27797377      1       1  97690     -0.65106       0.7425         0.74091         0.74091
Zm00001eb009100    1   27978753   27987790      7       5  97690       5.0027   2.8265e-07      6.4005e-05      1.1114e-08
Zm00001eb009310    1   28749421   28756388      1       1  97690       1.2042      0.11426          0.1146          0.1146
Zm00001eb009340    1   28861699   28863569      1       1  97690      -2.8201       0.9976         0.99752         0.99752
Zm00001eb009480    1   29231209   29233105      1       1  97690       0.2576      0.39836         0.39775         0.39775
Zm00001eb009580    1   29708345   29742246      1       1  97690       4.0721   2.3295e-05      2.4427e-05      2.4427e-05
Zm00001eb009660    1   30281678   30286028      1       1  97690     -0.49051      0.68811         0.68661         0.68661
Zm00001eb009810    1   30744669   30753561      2       2  97690       2.3437    0.0095462         0.01034       0.0098716
Zm00001eb009900    1   31057410   31063737      4       2  97690       2.4612    0.0069234        0.006652       0.0083613
Zm00001eb009930    1   31206107   31207875      5       4  97690     0.053288      0.47875         0.45221         0.48296
Zm00001eb009990    1   31487118   31499471      2       2  97690       2.2494     0.012242            0.01        0.016408
Zm00001eb010040    1   31742085   31745237      2       2  97690       1.4056     0.079922          0.1063        0.061955
Zm00001eb010150    1   32046737   32053530      2       2  97690     -0.64804      0.74152          0.7227         0.75121
Zm00001eb010400    1   32982565   32988047      7       5  97690       1.9559     0.025238        0.055358        0.015949
Zm00001eb010420    1   33112848   33116276      2       2  97690   0.00059157      0.49976         0.47856         0.51666
Zm00001eb010450    1   33258566   33261825      1       1  97690     -0.81293      0.79187         0.79022         0.79022
Zm00001eb010500    1   33413828   33441246      5       4  97690       3.1314   0.00086975      0.00042537       0.0030877
Zm00001eb010730    1   34315984   34331118      2       2  97690       2.5586    0.0052541       0.0043938       0.0072722
Zm00001eb010800    1   34591841   34596190      5       4  97690       2.9536    0.0015706       0.0024279       0.0019777
Zm00001eb010810    1   34596424   34605534      5       4  97690     0.081461      0.46754         0.38268         0.55103
Zm00001eb011150    1   35871079   35888789      1       1  97690       1.1736      0.12028         0.12066         0.12066
Zm00001eb011160    1   35888929   35938095      3       3  97690       4.0442   2.6252e-05      4.5305e-06       0.0002743
Zm00001eb011220    1   36151494   36154277      3       3  97690        2.022     0.021589        0.029457        0.018405
Zm00001eb011310    1   36496610   36502115      3       3  97690     -0.40564       0.6575         0.60281         0.70117
Zm00001eb011650    1   38093067   38097138      1       1  97690      -1.2416      0.89281          0.8916          0.8916
Zm00001eb011830    1   38545775   38550093      4       3  97690       1.7042     0.044174        0.031404        0.069898
Zm00001eb011920    1   38732047   38741370      5       4  97690      0.17935      0.42883         0.34185         0.52072
Zm00001eb011940    1   38792743   38794651      2       2  97690     -0.12682      0.55046         0.56008         0.53469
Zm00001eb012020    1   39038375   39041664      1       1  97690      0.61641      0.26881         0.26876         0.26876
Zm00001eb012060    1   39140833   39146679      3       3  97690      0.71529      0.23721         0.28094         0.20114
Zm00001eb012080    1   39254119   39255617      4       3  97690       1.3001     0.096778        0.057365         0.17643
Zm00001eb012200    1   39740256   39746552      6       5  97690      -1.1574      0.87645         0.90591          0.8138
Zm00001eb012280    1   40089910   40093602      5       3  97690     -0.36761      0.64342         0.59555         0.66784
Zm00001eb012290    1   40139451   40144569      4       3  97690       2.2852     0.011152       0.0092969        0.018343
Zm00001eb012300    1   40172250   40176813      1       1  97690      0.45797      0.32349         0.32324         0.32324
Zm00001eb012320    1   40355365   40357660      1       1  97690      0.86795      0.19271         0.19294         0.19294
Zm00001eb012370    1   40561922   40572008      2       2  97690     -0.45283      0.67466         0.62531         0.72139
Zm00001eb012460    1   40901847   40921888      4       3  97690       2.6389    0.0041584         0.01196       0.0019349
Zm00001eb012710    1   42011336   42013732      2       2  97690      0.56488      0.28608         0.32585         0.25075
Zm00001eb012720    1   42016483   42028755      9       7  97690       3.1068   0.00094568      0.00076358       0.0034019
Zm00001eb013030    1   43336628   43347740      2       2  97690       1.4696     0.070841        0.069924        0.073996
Zm00001eb013040    1   43348941   43351082      2       2  97690       1.4506     0.073448        0.073153         0.07717
Zm00001eb013250    1   44160117   44163083      4       3  97690      0.87664      0.19034         0.12415         0.29875
Zm00001eb013270    1   44177829   44184341      3       3  97690     -0.36919      0.64401         0.55146          0.7278
Zm00001eb013300    1   44344832   44356218     10       6  97690       1.2663       0.1027        0.072633         0.16015
Zm00001eb013320    1   44467919   44468700      5       4  97690       1.2333      0.10873        0.056146         0.22021
Zm00001eb013360    1   44729549   44735265      1       1  97690       1.4372     0.075335        0.075699        0.075699
Zm00001eb013560    1   45507094   45521995     14      10  97690         2.77    0.0028032       0.0019079        0.013092
Zm00001eb013660    1   45767329   45775445     12      10  97690       1.2209      0.11107        0.070623         0.19984
Zm00001eb013670    1   45775586   45778291      4       3  97690     -0.26731      0.60539         0.68979         0.50588
Zm00001eb013680    1   45778597   45780311      1       1  97690    -0.034989      0.51396         0.51305         0.51305
Zm00001eb013720    1   45913722   45920463      1       1  97690     -0.24801      0.59794         0.59657         0.59657
Zm00001eb013860    1   46408859   46415042      4       3  97690       3.0801    0.0010348      0.00043382        0.004522
Zm00001eb013870    1   46455129   46459976      2       2  97690      -1.5153      0.93516          0.9306         0.93468
Zm00001eb013940    1   46686174   46695468      4       3  97690      0.20033      0.42061         0.53382         0.32352
Zm00001eb014020    1   47110394   47136239      1       1  97690      0.95924      0.16872         0.16902         0.16902
Zm00001eb014030    1   47110458   47134017      1       1  97690      0.95924      0.16872         0.16902         0.16902
Zm00001eb014370    1   47986957   47992977      2       2  97690      -1.0664      0.85687         0.86748         0.83761
Zm00001eb014500    1   48523846   48529008      1       1  97690       2.9777    0.0014519       0.0014931       0.0014931
Zm00001eb014820    1   49638181   49666926      5       3  97690       2.3393    0.0096595         0.01708        0.007383
Zm00001eb014840    1   49792587   49798333      1       1  97690       1.7259     0.042183         0.04248         0.04248
Zm00001eb014990    1   50864080   50864941      1       1  97690      0.87547      0.19066         0.19086         0.19086
